"","perl_cutting_edge_programming_language","perl_encouraged_at_workplace","perl_good_language_for_startup","perl_easy_to_maintain","perl_code_scales_well","management_encourages_perl_for_new_projects","management_views_perl_as_cutting_edge","management_views_perl_as_easy_to_maintain","management_thinks_perl_scales_well","perl_good_first_programming_language","perl_good_tool_for_beginners","perl_good_tool_early_career_programmers","perl_good_tool_experienced_programmers","perl_good_tool_system_administrators","perl_good_tool_network_engineers","perl_good_tool_embedded_systems_programmers","perl_good_tool_applications_programmers"
"2370",7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7
"2371",4,7,7,7,6,NA,5,6,6,7,7,7,7,7,7,1,7
"2372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2373",3,5,4,3,3,3,1,1,1,3,3,4,6,6,6,6,6
"2374",2,4,2,6,6,3,2,2,2,3,3,3,3,7,6,3,2
"2375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2376",6,2,7,5,7,2,2,2,3,4,4,6,7,7,7,1,6
"2377",3,6,6,5,5,6,5,6,6,6,6,6,6,6,6,3,6
"2378",6,6,5,6,6,5,5,6,6,5,5,5,7,6,6,6,6
"2379",6,7,6,6,6,7,7,7,7,6,6,6,6,7,7,1,1
"2380",7,7,7,NA,3,7,6,6,3,6,6,6,7,7,7,1,7
"2381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2382",6,5,5,7,6,3,3,6,4,7,7,7,7,7,1,6,5
"2383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2385",5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6
"2386",5,7,4,4,4,7,5,5,4,4,5,5,5,5,5,4,6
"2387",3,7,7,6,6,7,3,6,6,2,5,6,7,7,7,1,7
"2388",7,7,2,3,1,3,3,2,1,2,2,6,7,7,7,2,2
"2389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2390",6,6,6,6,6,5,3,4,5,4,4,6,7,7,6,1,6
"2391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2392",7,6,7,7,7,6,5,4,6,6,6,7,7,7,7,7,7
"2393",6,3,6,5,6,1,1,1,1,5,5,6,6,7,6,1,6
"2394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2395",6,2,4,5,6,2,1,1,1,4,4,5,6,7,7,6,3
"2396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2398",5,6,7,6,6,5,4,4,4,7,7,7,7,7,1,1,7
"2399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2400",6,5,6,6,6,3,4,1,1,5,5,5,6,7,6,1,5
"2401",5,7,1,1,1,7,6,1,1,5,5,5,5,1,1,1,1
"2402",7,5,6,6,6,1,1,1,1,6,6,6,7,7,7,6,6
"2403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2404",7,7,7,7,7,7,1,1,1,6,6,6,6,7,1,1,7
"2405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2407",5,1,6,7,1,2,1,1,1,4,4,5,7,7,5,5,6
"2408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2409",5,4,5,NA,7,4,4,4,7,4,4,4,7,7,7,6,5
"2410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2411",1,5,3,2,1,1,1,1,1,2,2,2,5,4,4,4,3
"2412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2413",4,7,3,4,6,7,5,5,5,3,4,6,7,7,7,6,5
"2414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2415",5,6,4,1,1,5,1,1,1,4,4,5,5,7,1,1,4
"2416",6,1,6,6,6,1,1,1,1,6,5,5,6,6,6,1,4
"2417",4,3,2,2,2,2,2,2,2,3,3,3,6,6,1,1,1
"2418",5,6,6,6,6,5,1,5,5,4,4,7,6,7,6,3,6
"2419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2420",5,6,6,6,6,6,3,4,6,5,6,6,7,7,7,4,3
"2421",6,5,4,4,4,5,5,5,5,6,6,5,6,7,7,5,3
"2422",4,6,7,3,4,5,3,6,3,5,5,5,7,4,6,2,2
"2423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2424",2,1,1,1,1,1,1,1,1,2,5,1,1,6,1,1,6
"2425",7,7,5,6,7,7,5,5,6,3,3,4,7,7,1,1,7
"2426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2428",7,4,7,7,6,3,4,4,3,7,7,4,6,7,7,3,4
"2429",5,6,6,6,6,6,6,6,6,6,6,6,5,6,1,1,6
"2430",4,2,3,5,1,1,1,1,1,3,3,5,6,6,6,1,5
"2431",6,6,6,6,6,5,5,5,5,4,5,5,6,6,6,4,6
"2432",6,6,6,6,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6
"2433",6,2,6,3,4,2,2,2,2,6,6,6,7,6,6,3,4
"2434",6,6,6,6,6,1,1,1,1,6,6,6,6,7,7,1,7
"2435",5,4,4,6,1,2,1,1,1,4,4,5,6,6,6,1,6
"2436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2437",6,3,5,6,7,4,2,2,2,6,6,6,7,7,7,7,7
"2438",6,7,7,5,5,7,7,6,5,6,7,7,7,7,1,1,4
"2439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2440",5,6,5,6,6,1,1,1,1,5,6,6,7,6,5,4,6
"2441",2,5,3,5,4,2,2,1,1,7,7,7,7,6,6,4,5
"2442",6,5,7,6,6,5,5,5,5,5,5,5,7,7,7,4,7
"2443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2444",4,6,4,5,4,6,5,5,4,4,4,4,5,6,5,5,5
"2445",3,2,2,5,5,2,2,3,4,3,4,6,7,7,7,4,5
"2446",2,7,2,3,5,3,3,4,6,4,4,4,4,1,1,1,1
"2447",7,5,7,7,7,5,6,5,7,3,4,4,7,6,1,1,6
"2448",5,5,4,5,5,5,5,5,5,4,4,5,5,6,6,1,1
"2449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2453",NA,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7
"2454",3,3,5,2,1,3,3,3,1,3,5,5,7,7,7,3,5
"2455",5,3,4,4,4,3,3,3,3,5,4,5,6,7,7,1,1
"2456",4,5,6,NA,6,7,3,4,5,NA,2,5,NA,7,7,4,5
"2457",5,5,4,4,5,6,5,5,5,6,4,5,6,6,6,6,5
"2458",5,7,6,6,6,7,1,5,7,4,5,7,7,7,1,1,6
"2459",7,2,6,6,4,2,2,2,2,4,4,5,7,6,1,1,3
"2460",2,6,2,2,2,5,1,1,1,2,2,2,2,6,1,1,2
"2461",3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,3,3
"2462",6,1,6,6,6,1,1,1,1,6,6,6,6,6,6,6,6
"2463",7,5,7,7,6,4,3,4,6,6,7,6,7,7,7,6,7
"2464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2465",4,5,6,6,6,4,4,5,5,6,6,6,6,7,7,4,5
"2466",3,4,3,3,4,2,2,2,2,5,5,5,7,7,7,3,4
"2467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2470",5,3,4,2,1,1,1,1,3,4,5,6,6,6,6,2,3
"2471",2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,2,2
"2472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2473",5,7,6,5,5,6,4,4,4,4,4,5,5,6,6,1,6
"2474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2475",6,7,5,5,5,7,4,4,5,6,6,6,6,7,7,3,3
"2476",5,1,4,6,1,1,1,1,1,4,6,6,6,6,1,1,1
"2477",3,3,2,2,3,2,2,2,2,2,2,3,5,6,6,1,2
"2478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2479",1,7,7,7,1,7,1,6,1,7,7,7,7,6,1,1,6
"2480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2481",3,7,4,2,5,6,6,6,NA,2,4,5,6,5,5,1,5
"2482",6,1,5,6,5,1,1,1,1,5,7,5,6,6,6,4,6
"2483",7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7
"2484",5,5,5,4,5,5,5,5,4,5,5,5,5,7,6,4,6
"2485",3,5,6,6,7,5,1,1,1,7,7,7,7,7,6,NA,5
"2486",5,7,7,6,7,1,1,1,1,7,7,3,6,6,6,3,6
"2487",3,6,2,2,1,5,6,1,1,2,2,5,5,6,1,1,2
"2488",5,5,5,5,5,5,4,4,4,4,5,5,5,6,6,3,5
"2489",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"2490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2492",3,6,4,5,4,5,3,5,4,5,5,5,6,7,7,4,4
"2493",7,3,7,7,7,2,1,1,1,7,7,7,7,7,7,5,7
"2494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2495",4,7,6,5,5,7,4,6,6,2,4,5,6,6,6,1,5
"2496",6,7,6,6,6,6,5,6,7,6,6,6,7,7,7,1,1
"2497",6,1,6,5,1,1,1,1,1,5,6,6,6,7,1,1,1
"2498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2499",3,NA,5,5,5,NA,NA,NA,NA,3,3,3,6,6,6,4,5
"2500",5,5,6,5,5,1,1,1,5,4,5,6,7,7,7,4,5
"2501",3,5,4,6,6,1,1,1,1,4,4,5,6,7,7,3,6
"2502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2503",5,6,6,5,6,6,5,5,6,7,7,7,7,7,6,6,7
"2504",7,3,2,2,6,3,6,2,5,2,2,2,6,7,5,1,2
"2505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2507",5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
"2508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2509",5,5,3,2,2,2,2,2,2,2,2,2,5,5,5,2,5
"2510",6,6,4,4,6,6,5,4,4,3,5,7,7,7,7,1,5
"2511",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"2512",5,1,5,6,4,1,1,1,1,4,6,6,6,7,6,1,5
"2513",2,3,2,2,4,3,3,3,3,2,2,3,3,5,5,2,2
"2514",5,6,4,5,3,1,1,1,1,7,7,4,7,7,7,1,3
"2515",7,5,6,5,6,5,4,3,4,6,6,7,7,7,6,6,5
"2516",6,7,1,6,6,1,1,1,1,5,5,6,7,7,1,1,7
"2517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2518",6,7,5,5,6,7,1,6,3,4,4,5,6,7,6,3,5
"2519",3,7,6,7,4,6,3,6,6,6,7,7,7,7,7,3,3
"2520",5,5,4,5,5,1,1,1,1,6,6,6,5,7,6,1,3
"2521",7,7,7,7,NA,5,4,5,5,7,7,7,7,7,7,4,7
"2522",3,3,5,5,5,4,2,2,3,5,5,5,6,7,7,4,5
"2523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2524",6,7,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6
"2525",6,6,6,5,6,5,5,6,5,6,6,6,6,6,6,1,5
"2526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2528",NA,7,6,5,5,3,2,3,4,5,5,6,6,6,6,5,5
"2529",7,7,7,7,7,4,4,4,4,5,6,7,7,7,7,7,7
"2530",3,6,6,6,4,6,1,1,1,6,6,6,6,6,1,4,4
"2531",4,5,5,4,5,4,4,5,5,5,5,5,4,5,4,3,3
"2532",6,6,5,6,1,5,5,5,5,6,6,6,6,7,6,7,6
"2533",4,7,6,4,4,7,4,3,6,5,5,6,6,7,6,3,5
"2534",7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7
"2535",6,6,5,6,6,6,5,6,6,6,6,6,6,6,6,1,1
"2536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2538",6,2,6,6,6,2,5,4,5,4,4,6,7,7,7,7,7
"2539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2540",6,5,7,7,6,5,5,5,5,4,4,5,7,7,7,7,7
"2541",3,5,3,4,4,3,2,3,3,4,4,5,5,6,6,1,5
"2542",5,6,4,5,5,1,1,1,1,4,4,4,6,6,NA,1,6
"2543",5,6,6,4,5,5,5,6,5,6,6,6,6,6,6,6,6
"2544",5,7,5,4,4,6,1,1,1,6,6,5,7,7,6,6,6
"2545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2546",7,6,6,6,6,5,5,6,5,5,7,7,7,NA,1,1,1
"2547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2548",6,7,5,5,6,5,6,4,6,3,4,5,6,6,6,2,3
"2549",4,5,6,5,5,4,4,3,3,3,4,5,6,7,7,1,5
"2550",2,3,3,4,4,2,2,2,2,3,3,5,6,7,7,3,3
"2551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2552",5,7,5,4,1,6,5,5,5,4,4,4,5,6,6,1,5
"2553",3,6,5,6,4,6,6,6,6,NA,4,5,7,7,NA,1,2
"2554",6,7,6,6,6,7,6,6,6,3,3,5,7,7,7,2,6
"2555",7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,6
"2556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2560",6,7,5,6,6,7,7,7,7,5,5,5,7,7,6,4,5
"2561",5,5,3,3,5,1,1,1,1,3,3,5,6,7,5,1,3
"2562",3,1,6,6,6,1,1,1,1,1,6,6,7,6,6,3,3
"2563",4,6,5,5,6,1,1,1,1,6,6,6,6,7,6,4,5
"2564",6,6,5,5,5,6,5,5,NA,7,7,7,7,7,1,NA,7
"2565",5,6,4,3,1,5,3,3,1,6,4,7,7,7,7,5,7
"2566",6,6,6,6,6,5,4,4,4,4,5,6,6,7,6,6,6
"2567",6,7,6,6,5,5,5,5,5,5,5,6,7,7,6,5,5
"2568",6,7,6,6,NA,1,1,1,1,7,7,7,7,7,7,3,5
"2569",5,7,6,6,6,5,1,1,1,3,3,4,6,5,5,1,1
"2570",5,7,6,6,6,7,7,7,7,6,6,6,7,7,7,5,6
"2571",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"2572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2573",4,4,NA,5,6,4,4,4,6,4,4,4,6,6,7,1,5
"2574",6,6,1,6,1,6,1,1,1,7,7,1,7,7,7,1,1
"2575",7,7,7,5,6,6,1,1,1,6,6,6,7,7,6,1,6
"2576",6,7,6,4,6,7,6,4,7,1,5,6,7,7,7,1,1
"2577",6,7,1,5,6,7,7,6,6,7,7,7,7,7,5,5,5
"2578",3,4,2,2,2,2,4,5,4,2,3,3,7,4,2,1,4
"2579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2581",7,4,5,6,6,4,3,1,1,5,5,5,7,7,6,5,6
"2582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2583",2,3,2,4,6,3,2,5,6,3,3,3,6,6,5,3,2
"2584",3,5,3,5,5,5,3,4,4,6,6,6,6,7,7,4,6
"2585",4,7,6,6,6,7,4,6,6,5,5,5,7,7,6,1,7
"2586",1,5,6,6,5,5,1,1,1,5,4,3,7,7,6,1,5
"2587",5,1,4,4,4,1,1,1,1,2,3,4,6,7,4,3,3
"2588",4,5,5,6,5,1,1,1,1,3,4,5,6,6,6,1,6
"2589",7,3,1,6,6,1,3,1,1,2,3,6,7,7,7,1,3
"2590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2591",2,6,2,2,2,5,5,5,5,2,2,2,2,5,5,2,2
"2592",6,1,3,5,5,1,1,1,1,3,3,3,6,7,7,3,6
"2593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2595",7,7,6,6,5,7,7,7,5,6,6,6,6,6,6,5,6
"2596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2598",4,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2
"2599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2600",5,6,6,5,5,5,5,3,3,5,5,5,6,6,6,6,3
"2601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2602",1,1,5,6,6,1,1,1,1,5,6,6,7,7,7,1,1
"2603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2607",3,7,5,5,5,7,4,6,5,4,5,3,7,7,5,3,6
"2608",6,7,6,6,7,7,7,6,1,3,4,5,6,7,4,3,5
"2609",5,3,6,5,5,2,2,1,3,6,6,5,7,7,6,5,5
"2610",7,7,6,4,5,7,6,6,6,7,7,5,6,7,7,4,4
"2611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2612",6,3,6,5,5,3,1,1,1,4,5,5,5,5,5,3,5
"2613",6,6,5,6,4,1,1,1,1,4,5,6,7,7,7,1,1
"2614",7,2,2,4,5,2,2,2,2,2,4,7,7,7,5,3,6
"2615",3,6,4,4,6,7,1,1,1,2,2,6,4,1,1,2,2
"2616",4,2,2,2,4,1,1,1,1,2,2,2,5,6,5,2,2
"2617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,7,7,NA,NA
"2618",6,1,6,6,6,1,1,1,1,3,1,6,6,7,1,1,6
"2619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2620",6,7,7,7,7,6,5,5,5,7,7,7,7,7,7,5,6
"2621",4,7,5,3,3,7,5,4,5,4,4,4,5,6,6,1,1
"2622",7,3,6,5,6,2,1,1,1,6,5,6,7,7,7,4,6
"2623",3,7,6,5,6,7,6,6,6,4,6,6,6,6,6,6,6
"2624",5,7,7,7,7,7,5,6,6,2,3,4,7,5,5,2,6
"2625",6,3,7,7,6,2,3,3,2,3,6,6,6,7,7,4,3
"2626",6,7,6,6,6,7,7,7,7,6,6,6,7,7,6,3,6
"2627",4,7,6,6,4,6,4,4,1,4,5,6,6,6,6,1,6
"2628",7,6,6,6,1,1,1,1,1,4,4,4,4,1,1,1,5
"2629",6,2,4,6,3,2,2,2,2,5,7,5,5,7,7,2,3
"2630",6,3,5,5,5,4,3,4,3,5,6,6,7,7,7,5,6
"2631",6,7,7,7,6,7,5,6,6,7,7,7,7,7,7,5,7
"2632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2634",7,5,5,1,6,1,1,1,6,6,6,3,3,7,1,6,4
"2635",4,5,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6
"2636",7,1,6,6,6,1,1,1,1,7,6,5,6,7,7,4,5
"2637",3,7,4,3,5,4,3,4,4,3,5,5,7,7,6,4,6
"2638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2639",4,2,4,4,5,3,4,3,3,6,6,6,6,7,1,1,5
"2640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2641",1,3,6,4,5,2,1,3,1,6,7,7,7,7,5,3,6
"2642",7,7,6,6,7,7,7,6,7,6,6,6,7,7,1,1,6
"2643",5,7,6,6,3,6,1,4,NA,6,6,6,6,7,6,2,5
"2644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2645",5,7,7,6,6,7,5,6,6,4,6,7,7,7,7,5,6
"2646",5,4,4,4,6,4,5,4,6,4,4,2,7,4,4,4,6
"2647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2648",4,1,3,4,NA,1,1,1,1,3,3,5,6,6,1,1,3
"2649",2,3,2,2,2,3,2,3,3,2,2,2,2,4,2,2,2
"2650",6,6,6,5,4,4,3,3,3,2,2,4,6,7,7,5,6
"2651",4,7,5,5,1,7,1,1,1,3,5,1,7,7,1,5,6
"2652",7,5,6,6,6,1,1,1,1,7,7,7,7,7,7,7,7
"2653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2655",4,6,4,4,6,6,6,6,6,4,5,5,6,6,7,5,6
"2656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2660",7,7,6,6,6,4,4,4,4,2,2,6,7,7,7,4,7
"2661",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"2662",6,7,7,6,7,7,6,6,7,3,5,6,6,5,6,2,7
"2663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2664",4,7,5,5,5,7,5,5,5,5,6,5,6,7,7,3,3
"2665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2666",5,6,5,3,4,5,5,3,4,4,3,5,6,7,6,5,5
"2667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2668",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"2669",5,6,6,5,1,6,3,5,6,3,5,5,7,7,6,4,5
"2670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2671",4,5,5,4,5,5,4,4,5,5,5,5,7,7,5,5,6
"2672",5,7,7,6,7,7,5,4,6,7,6,7,7,7,1,1,7
"2673",1,6,1,4,5,1,1,1,1,5,5,7,7,7,6,4,5
"2674",5,6,5,6,6,6,4,5,6,5,6,6,7,7,5,5,6
"2675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2677",4,1,5,5,6,1,1,1,1,4,4,5,6,7,7,1,6
"2678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2679",3,3,3,3,5,2,2,2,2,2,2,2,5,6,6,3,3
"2680",5,7,5,6,5,7,5,6,1,5,5,6,6,6,1,3,5
"2681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2682",6,1,6,6,6,1,1,1,1,NA,5,5,6,7,7,5,5
"2683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2685",7,6,6,5,5,5,1,3,1,5,5,7,NA,7,7,7,7
