"","language_1","language_2","language_3","language_4","language_5","where_perl_belongs_in_list"
"1768","bash","javascript","php","","",1
"1769","","","","","",
"1770","perl","shell","php","xslt","java",1
"1771","bash","","","","",1
"1772","javascript","c","scheme","forth","parrot",2
"1773","VBA","c++","","","",1
"1774","Javascript","Actionscript","Python","PHP","C",1
"1775","bash","visual basic","python","javascript","",1
"1776","Ruby","Haskell","C++","C","C#",1
"1777","","","","","",
"1778","Lua","C","bash","","",5
"1779","python","javascript","actionscript","scheme","ruby",4
"1780","c","C#","PHP","c++","java",1
"1781","javascript","PHP","","","",1
"1782","","","","","",
"1783","php","visual basic","","","",1
"1784","python","c++","","","",3
"1785","Python","Scheme","PHP","Java","",4
"1786","Java","C#","","","",3
"1787","php","bash","c","c++","tcl",1
"1788","Perl","JavaScrip","C++","Objective-C","D",1
"1789","C/C++","Basic","","","",1
"1790","ECMAScript","Shell","C","Java","Tcl",1
"1791","","","","","",1
"1792","javascript","bash","python","php","basic",1
"1793","java","c++","C#","visual basic","php",6
"1794","javascript","sql","scala","java","c",1
"1795","Python","javascript","C","Ruby","",6
"1796","javascript","php","sh","c","",1
"1797","python","C","javascript","java","lisp",2
"1798","","","","","",
"1799","php","sql","javascript","c++","",4
"1800","","","","","",
"1801","","","","","",1
"1802","C++","sql","C","Java","",1
"1803","java","javascript","bash","xslt","",1
"1804","Python","Emacs Lisp","Java","","",1
"1805","sql","bash","python","c","",1
"1806","","","","","",
"1807","","","","","",
"1808","","","","","",
"1809","c","c++","","","",3
"1810","Python","Ruby","Lisp","php","bash",5
"1811","","","","","",1
"1812","","","","","",
"1813","","","","","",
"1814","c","javascript","c++","bash","assembler",1
"1815","","","","","",
"1816","Java","C","C++","sh","",1
"1817","Prolog","Haskell","php","","",6
"1818","objective c","c","python","arexx","javascript",1
"1819","C","C++","","","",2
"1820","","","","","",
"1821","c","C++","r","Python","Java",2
"1822","","","","","",
"1823","","","","","",1
"1824","PHP","Groovy","Java","C++","",1
"1825","ruby","c","c++","c#","powershell",6
"1826","php","c++","python","bash","lua",1
"1827","PHP","C","C++","","",4
"1828","javascript","C","R","","",1
"1829","","","","","",
"1830","","","","","",
"1831","","","","","",
"1832","PHP","c","bash","python","",1
"1833","bash","c++","java","","",1
"1834","","","","","",
"1835","","","","","",
"1836","ruby","visual basic","c","","",1
"1837","","","","","",
"1838","","","","","",
"1839","ruby","c","c++","bash","",1
"1840","c","java","","","",1
"1841","SQL","Javascript","C","","",1
"1842","sql","javascript","bash","","",1
"1843","sql","bash","clojure","javascript","java",1
"1844","","","","","",
"1845","javascript","bash","c++","ccscript","TeX",1
"1846","","","","","",
"1847","Perl","sql","Mason","C#","Flex",1
"1848","PHP","javascript","","","",1
"1849","javascript","bash","","","",1
"1850","javascript","delphi","java","c","bash",1
"1851","JavaScript","","","","",1
"1852","C/C++","Actionscript 3","Objective C","","",2
"1853","Python","java","javascript","","",2
"1854","PHP","c","","","",1
"1855","lisp scheme","perl","","","",2
"1856","","","","","",
"1857","Python","c++","","","",1
"1858","Shell","awk","php","","",1
"1859","bash","pl sql","python","java","xslt",1
"1860","Bash","","","","",1
"1861","bash","java","c","groovy","",2
"1862","Java","Javascript","c++","","",1
"1863","c","sql","javascript","","",1
"1864","bash","php","c++","","",2
"1865","PHP","Python","","","",1
"1866","R","C#","C","","",2
"1867","","","","","",2
"1868","C++","sh","LISP","Haskell","Python",1
"1869","bash","c","php","awk","javascript",1
"1870","c++","c","python","Java","haskell",4
"1871","","","","","",
"1872","PHP","Objective-C","Python","ruby","javascript",4
"1873","","","","","",
"1874","bash","c","Java","","",1
"1875","python","c","bash","java","go",6
"1876","Java","bash","ruby","tcsh","C",1
"1877","sql","javascript","visual basic","","",1
"1878","java","javascript","shell","","",1
"1879","c","lisp scheme","ksh","sql","R",1
"1880","C","","","","",1
"1881","","","","","",
"1882","","","","","",
"1883","","","","","",1
"1884","shell scripting","","","","",1
"1885","Python","PHP","","","",1
"1886","ruby","python","","","",1
"1887","php","javascript","","","",1
"1888","php","","","","",1
"1889","Ruby","php","Python","objective c","",1
"1890","","","","","",
"1891","python","javascript","sql","","",4
"1892","bash scripting","Python","","","",1
"1893","python","php","","","",3
"1894","C++","C","BASH","PHP","",1
"1895","java","Javascript","","","",2
"1896","javascript","bash","c","","",1
"1897","PHP","Javascript","","","",3
"1898","javascript","sql","bash","","",1
"1899","","","","","",
"1900","php","perl","python","bash","",2
"1901","C","Pascal","python","DCL","",5
"1902","C++","","","","",
"1903","bash","python","php","lua","assembler",1
"1904","objective c","javascript","xslt","c","",1
"1905","javascript","php","java","","",1
"1906","LabVIEW","C","Python","PHP","Java",6
"1907","","","","","",
"1908","php","","","","",1
"1909","","","","","",
"1910","sql","java","xslt","","",1
"1911","ruby","shell","","","",2
"1912","sql","bash","python","","",1
"1913","Python","PHP","java","C++","",2
"1914","ruby","java","c","python","c#",4
"1915","Ruby","C","lisp","java","php",6
"1916","","","","","",
"1917","","","","","",
"1918","","","","","",
"1919","","","","","",
"1920","c","lisp ","matlab","c++","",2
"1921","","","","","",
"1922","sql","nawk","c++","c","c#",2
"1923","","","","","",1
"1924","c#","powershell","","","",1
"1925","","","","","",
"1926","","","","","",
"1927","c++","HLSL","","","",3
"1928","","","","","",
"1929","php","","","","",1
"1930","javascript","","","","",1
"1931","C","","","","",1
"1932","C","C++","Python","","",4
"1933","php","c","bash","","",1
"1934","shell","c","","","",1
"1935","C++","","","","",2
"1936","pl sql","javascript","sql","bash","",1
"1937","","","","","",1
"1938","java","c++","","","",2
"1939","java","SQL","javaScript","Delphi","",1
"1940","","","","","",
"1941","C++","makepp","lisp emacs/sawfish","","",2
"1942","Perl","Advanced Revelation R/Basic (is like PICK Basic)","pl sql","java","delphi",1
"1943","C","bash","python","C++","",2
"1944","php","python","bash","ruby","",1
"1945","","","","","",
"1946","Perl","C","","","",1
"1947","","","","","",
"1948","python","java","javascript","","",2
"1949","C/C++","Python","Javascript","Java","",1
"1950","Ruby on Rails","","","","",1
"1951","Java","Python","C","Matlab/Octave","",6
"1952","","","","","",1
"1953","applescript","","","","",1
"1954","perl","javascript","","","",1
"1955","python","objective-c","","","",1
"1956","C++","C","sql","Powerscript","javascript",1
"1957","php","python","","","",3
"1958","JavaScript","Emacs Lisp","Bash","","",1
"1959","Ruby","PHP","Python","C++","",1
"1960","","","","","",
"1961","python","php","c","javascript","",3
"1962","C","Shell","java","c++","",1
"1963","javascript","sql","c","c++","",1
"1964","","","","","",
"1965","JavaScript","C++","","","",1
"1966","c++/qt","javascript","visual basic","","",1
"1967","","","","","",1
"1968","","","","","",
"1969","Javascript","Shell","python","O'Caml","",1
"1970","","","","","",
"1971","","","","","",1
"1972","python","c#","c","c++","",5
"1973","c","ruby","java","rakudo","",1
"1974","c++","","","","",1
"1975","bash","","","","",1
"1976","ruby","clojure","lisp","haskell","python",2
"1977","","","","","",
"1978","C","Javascript","","","",2
"1979","C++","C","Java","","",2
"1980","","","","","",
"1981","javascript","sql","java","objective c","",1
"1982","C","C++","Ruby","","",1
"1983","C","","","","",1
"1984","","","","","",
"1985","bash","c","","","",1
"1986","C","SQL","BASIC","python","",3
"1987","C","","","","",1
"1988","javascript","xslt","php","","",1
"1989","c","objective c","java","","",1
"1990","javascript","","","","",1
"1991","C++","Java","JavaScript","","",3
"1992","","","","","",2
"1993","tcl tk","javascript","smalltalk","c","",1
"1994","php","java","","","",1
"1995","ruby","php","scheme","java","",2
"1996","Bourne shell","Python","","","",1
"1997","c++","bash","","","",1
"1998","","","","","",
"1999","bash","javascript","","","",1
"2000","c++","c","","","",3
"2001","Javascript","C#","","","",1
"2002","html","css","javascript","","",3
"2003","c","bash","python","java","",2
"2004","","","","","",
"2005","C","Shell","JavaScript","","",1
"2006","sql","c","python","r","c++",1
"2007","Matlab","C++","","","",2
"2008","python","scala","javascript","c","",2
"2009","","","","","",
"2010","python","emacs lisp","bash","c","java",5
"2011","PHP","bash","C","","",1
"2012","bash","latex","delphi","php","vb",1
"2013","","","","","",
"2014","realbasic","jython","","","",1
"2015","","","","","",1
"2016","PHP","C++","java","actionscript","javascript",1
"2017","ruby","c++","javascript","","",4
"2018","C","PHP","","","",1
"2019","php","ruby","pl sql","sql","c++",1
"2020","visual basic","c","Java","","",3
"2021","","","","","",
"2022","","","","","",1
"2023","objective c","javascript","python","","",1
"2024","Python","Shell","Lisp","","",2
"2025","LaTeX","PlPgSQL","","","",1
"2026","PowerScript","java","javascript","","",2
"2027","","","","","",
"2028","php","asp","bash","javascript","c++",1
"2029","php","","","","",
"2030","","","","","",
"2031","","","","","",1
"2032","","","","","",
"2033","","","","","",
"2034","VBA","VB6","","","",2
"2035","","","","","",
"2036","C","javascript","","","",1
"2037","javascript","","","","",1
"2038","","","","","",
"2039","Java","Python","Ruby","C","",4
"2040","python","php","sql","zsh","",1
"2041","Java","","","","",1
"2042","PHP","Java","javascript","r","bash",1
"2043","php","bash","C#","","",1
"2044","PHP","Shell","Javascript","","",2
"2045","c","C#","DCL","TPU","",2
"2046","java",".net","c","","",1
"2047","","","","","",
"2048","","","","","",
"2049","Java","PHP","Bash","Javascript","Python",1
"2050","","","","","",
"2051","bash","PHP","","","",1
"2052","","","","","",
"2053","Java","bash","haskell","","",2
"2054","SAS","Perl","vbscript","SQL","",2
"2055","ksh","sql","javascript","","",1
"2056","Ruby (Rails)","pl/sql","php","c","",1
"2057","C","C++","Python","","",3
"2058","Java","Python","","","",2
"2059","python","","","","",2
"2060","python","php","ruby","","",4
"2061","","","","","",
"2062","c","c++","bash","sql","",2
"2063","","","","","",
"2064","C++","Python","C#","haskell","shell",4
"2065","","","","","",
"2066","","","","","",
"2067","","","","","",1
"2068","fortran","ksh","Bash","basic","c",1
"2069","javascript","bash","java","","",1
"2070","C++","C","","","",3
"2071","c#","PHP","","","",1
"2072","","","","","",1
"2073","","","","","",
"2074","sql","pl sql","java","javascript","ruby",2
"2075","Python","bash","php","perl","javascript",4
"2076","python","c++","c+","java","",1
"2077","","","","","",
"2078","PHP","python","java","","",1
"2079","Haskell","C","Lua","scheme","java",6
"2080","java","","","","",2
"2081","PHP","python","JavaScript","Bash","C",1
"2082","","","","","",
"2083","php","python","","","",1
"2084","c#","c++","c","assembler","java",5
"2085","Python","C","C++","lisp scheme","",5
"2086","C++","C","sh","assembly","",1
"2087","java","javascript","","","",1
"2088","javascript","bash","php","","",1
"2089","","","","","",
"2090","ruby","sql","r","clojure","haskell",1
"2091","sh","c","","","",1
"2092","R","C","python","bash?","",1
"2093","java","php","c","","",1
"2094","php","python","","","",1
"2095","javascript","bash","c","4gl","c++",1
"2096","","","","","",
"2097","Java","bash","php","ruby","",2
"2098","c++","java","php","c","haskell",1
"2099","sql","c++","bash","lua","",1
"2100","","","","","",
"2101","sh","C","Lua","C++","Python",2
"2102","","","","","",
"2103","","","","","",
"2104","","","","","",
"2105","shell scripting","","","","",1
"2106","javascript","bash","python","c","java",1
"2107","","","","","",
"2108","bash","ruby","c","","",1
"2109","shell","visual basic","python","","",1
"2110","php","","","","",1
"2111","php","ruby","c#","","",1
"2112","C++","python","","","",2
"2113","","","","","",
"2114","","","","","",
"2115","","","","","",
"2116","","","","","",
"2117","javascript","php","bash","","",1
"2118","javascript","java","python","","",2
"2119","c/c++","php","javascript","ruby","java",2
"2120","Template Toolkit","javascript","HTML","","",1
"2121","Java","c++","bash","python","C",2
"2122","Java","c","bash","groovy","",1
"2123","sql","c","ruby","bash","",1
"2124","javascript","php","ruby on rails","","",1
"2125","python","c++","bash","C#","",2
"2126","","","","","",1
"2127","Bash","JavaScript","C","Common Lisp","",1
"2128","Javascript","Java","Common Lisp","","",1
"2129","Perl","ECMAScript","java","c++","",1
"2130","php","bash","","","",2
"2131","C++","javascript","","","",2
"2132","JavaScript","Java","","","",1
"2133","php","","","","",1
"2134","java","ruby","c++","bash","tcl",1
"2135","bash","javascript","c","","",1
"2136","C#","basic","","","",1
"2137","","","","","",
"2138","","","","","",
"2139","","","","","",
"2140","C","Java","Shell","SQL","HTML",3
"2141","javascript","xslt","ruby","lisp scheme","c",1
"2142","c","shell","sql","javascript","",1
"2143","python","c++","lisp scheme","lua","bash",3
"2144","Javascript","C","PHP","C++","Python",1
"2145","","","","","",
"2146","Matlab","Fortran","","","",1
"2147","C","c++","assembler","","",1
"2148","shell/bash","","","","",2
"2149","javascript","php","java","prolog","lisp scheme",1
"2150","","","","","",1
"2151","C#","sql","python","f#","common lisp",3
"2152","","","","","",
"2153","","","","","",
"2154","perl","shell","java","","",1
"2155","bourne shell","javascript","C","java","ruby",1
"2156","c","c++","java","javascript","",6
"2157","","","","","",
"2158","Ruby","JavaScript","c++","C#","sql",3
"2159","sql","javascript","","","",1
"2160","javascript","bash","html","python","php",1
"2161","","","","","",
"2162","","","","","",
"2163","","","","","",2
"2164","","","","","",
"2165","","","","","",
"2166","c++","C","powershell","java","",1
"2167","Java","VisualBasic","PHP","","",3
"2168","C","assembler","python","scheme","haskell",6
"2169","sql","bash","c++","","",1
"2170","","","","","",
"2171","ocaml","javascript","bash","php","C++",1
"2172","R","SQL","C","","",1
"2173","Java","C#","VB","","",4
"2174","python","c++","prolog","","",1
"2175","javascript","c++","assembler","","",1
"2176","SQL (MySQL , Oracle PL/SQL)","bash","javascript","Java","ruby",1
"2177","bash","php","matlab","c","",1
"2178","Mathematica","pro","SQL*PLUS","tcl","LISP",1
"2179","PHP","Ruby","","","",1
"2180","delphi","sql","","","",3
"2181","Perl","javascript","ruby","php","c",2
"2182","","","","","",
"2183","C#","C","Python","","",3
"2184","Ruby","Javascript","bash","","",2
"2185","java","php","","","",1
"2186","Python","PHP","Go","Ruby","C++",3
"2187","C","C++","java","php","javascript",3
"2188","","","","","",
"2189","","","","","",
"2190","sql","java","xslt","","",3
"2191","ruby","objective c","bash","python","c",1
"2192","bash","php","","","",2
"2193","","","","","",1
"2194","","","","","",
"2195","c++","perl","java","c","",2
"2196","xslt","","","","",1
"2197","","","","","",
"2198","","","","","",
"2199","","","","","",1
"2200","","","","","",
"2201","Javascript","C++","c","","",1
"2202","javascript","python","php","","",2
"2203","java","Perl","C","sql","",2
"2204","","","","","",
"2205","Objective-C","C","Javascript","Ruby","C++",3
"2206","","","","","",1
"2207","java","c","c++","sql","bash",2
"2208","C++ ","visual basic","","","",1
"2209","c++","c","php","","",1
"2210","C++","Perl 6","","","",3
"2211","bash","python","","","",1
"2212","Java","C","","","",1
"2213","bash","python","","","",1
"2214","","","","","",
"2215","","","","","",
"2216","bash","jython","","","",1
"2217","","","","","",
"2218","Shell","Javascript","Java","Python","C++",1
"2219","C","Java","C++","","",1
"2220","python","c#","c","","",1
"2221","bash","c++","c","python","",2
"2222","PL/SQL","Python","Javascript","","",1
"2223","JavaScript","C","Java","HTML","CSS",1
"2224","javascript","java","lua","C++","",1
"2225","C","C++","Shell","Python","Ruby",4
"2226","bash","C","","","",2
"2227","PHP","python","Ruby","","",2
"2228","Clojure","Ruby","Scheme","","",4
"2229","Java","C#","PHP","C++","python",1
"2230","sql","html","css","javascript","visual basic",2
"2231","PHP","Ruby","","","",1
"2232","C","C++","groovy","haskell","scala",1
"2233","matlab","C","java","","",4
"2234","","","","","",
"2235","","","","","",
"2236","Java","Javascript","php","python","",5
"2237","c","","","","",1
"2238","","","","","",
"2239","C","C++","Ruby","","",2
"2240","Lisp","Smalltalk","Haskell","Erlang","C#",6
"2241","python","clojure","javascript","php","bash",2
"2242","C/C++","Java","Python","","",1
"2243","c","c++","","","",3
"2244","java","php","c++","","",2
"2245","","","","","",
"2246","javascript","","","","",1
"2247","bash","ksh","","","",2
"2248","PHP","bash","","","",1
"2249","sql","javascript","java","lua","",1
"2250","SQL","Javascript","HTML","CSS","XML",1
"2251","","","","","",
"2252","sh","","","","",1
"2253","Java","Ruby","","","",1
"2254","c","java","python","","",1
"2255","java","","","","",1
"2256","","","","","",
"2257","python","","","","",1
"2258","","","","","",
"2259","C++","Java","python","bash","php",3
"2260","C#","Shell Script","PL/SQL","Transact SQL","PHP",6
"2261","SQL","PL/SQL","java","Coldfusion","",2
"2262","C/C++","Visual Basic.NET","Bash","","",2
"2263","javascript","actionscript","haskell","bash","applescript",1
"2264","Java","C++","C","ksh","",4
"2265","C++","Emacs Lisp","","","",2
"2266","C#","R","java","bash","c++",2
"2267","bash","csh","c","fortran","",1
"2268","","","","","",
"2269","c++","sql","java","","",1
"2270","C","php","visual basic","c++","",1
"2271","python","bash","","","",1
"2272","","","","","",
"2273","javascript","C","SQL","Java","C++",1
"2274","javascript","php","","","",1
"2275","Java","FORTRAN","c","Clojure","",4
"2276","javascript","java","","","",1
"2277","","","","","",
"2278","Shell/Bash","Javascript","","","",1
"2279","bash","c","php","javascript","",1
"2280","python","ruby","","","",1
"2281","Perl","Shell scripts","SQL","Javascript","c/c++",1
"2282","java","c++","c","elisp","",1
"2283","ruby","PHP","","","",1
"2284","Java","","","","",1
"2285","c","perl","ruby","python","java",2
"2286","C","","","","",1
"2287","Java","c++","csh","c","",2
"2288","PHP","java","","","",3
"2289","php","","","","",1
"2290","c","","","","",1
"2291","Ruby","C","javascript","C++","java",1
"2292","C","javascript","php","ruby","",1
"2293","","","","","",
"2294","fortran","","","","",1
"2295","C","Java","PHP","javascript","",1
"2296","c","JavaScript","Prolog","Makefile language","sh",1
"2297","Javascript","","","","",1
"2298","java","C#","C","Powershell","",4
"2299","Python","C++","Haskell","C","Javascript",1
"2300","","","","","",
"2301","bash","CTL","","","",1
"2302","Objective-C","Ruby","PHP","java","erlang",4
"2303","python","java","javascript","scala","",2
"2304","Java","Groovy","","","",6
"2305","VBA","","","","",1
"2306","","","","","",
"2307","bash","tcl tk","c","c++","",1
"2308","","","","","",
"2309","","","","","",
"2310","","","","","",
"2311","","","","","",1
"2312","Java","RPG IV","python","PHP","",5
"2313","","","","","",
"2314","php","javascript","","","",3
"2315","Unix-Shell","","","","",2
"2316","Ruby","shell","C++","","",1
"2317","c++","java","R","bash","elisp",4
"2318","Python","c++","r","","",3
"2319","java","python","c","c++","ruby",6
"2320","VB","C","COBOL","Java","",1
"2321","rexx","javascript","php","sql","",3
"2322","C#","C++","C","Javascript","PHP",6
"2323","javascript","sql","bash","php","",1
"2324","javascript","vbscript","java","","",1
"2325","ABAP","c","python","awk","sql",2
"2326","C#","c","","","",1
"2327","bash","SQL","","","",1
"2328","javascript","C","lisp","python","J",1
"2329","Python","Java","Javascript","C","",2
"2330","Python","C++","","","",1
"2331","sql","javascript","","","",1
"2332","javascript","","","","",1
"2333","ruby","arc","scheme","lisp","bash",3
"2334","objective c","c++","php","python","c",6
"2335","","","","","",
"2336","Python","PHP","Java","C","",6
"2337","Korn shell","C","Python","make","Java",1
"2338","","","","","",
"2339","pl sql","javascript","bash","","",1
"2340","c++","SystemVerilog","javascript","tcl","php",1
"2341","LPC","","","","",2
"2342","","","","","",
"2343","bash","python","ruby","","",1
"2344","Java","ruby","javascript","c","",1
"2345","scheme","c","C++","python","php",1
"2346","","","","","",
"2347","Java","Javascript","Python","","",4
"2348","java","","","","",1
"2349","javascript","java","sql","bash","",1
"2350","","","","","",
"2351","java","c","","","",6
"2352","","","","","",
"2353","javascript","html/css","php","python","ruby",1
"2354","","","","","",
"2355","php","java","","","",6
"2356","","","","","",
"2357","Ruby","PHP","bash","C/C++","",2
"2358","bash","","","","",1
"2359","C","java","C#","C++","",1
"2360","","","","","",1
"2361","javascript","java","bash","c","",2
"2362","IDL","javascript","bash","PHP","C",1
"2363","","","","","",
"2364","javascript","php","","","",1
"2365","","","","","",
"2366","Java","Unix shell","c++","Ruby","",2
"2367","Python","C","Javascript","Perl","Shell",4
"2368","Objective-C","C++","C","VBScript","",3
"2369","objective c","c#","java","python","c",2
"2370","","","","","",1
"2371","javascript","sql(postgres)","","","",1
"2372","","","","","",
"2373","c","c++","python","objective c","",3
"2374","Java","Delphi","Shell","Batch","",3
"2375","","","","","",
"2376","bash","","","","",1
"2377","php","rails","","","",1
"2378","javascript","sql","c","c++","java",1
"2379","","","","","",1
"2380","c","c++","java","","",1
"2381","","","","","",
"2382","bash","c","tcl","java","tcsh",1
"2383","","","","","",
"2384","","","","","",
"2385","PHP","","","","",1
"2386","Haskell","Python","C","Lisp","",1
"2387","javascript","sql","pl sql","","",2
"2388","Javascript","c","c++","python","php",1
"2389","","","","","",
"2390","bash","java","","","",1
"2391","delphi","java","php","bash","lua",6
"2392","bash","php","sql","javascript","java",1
"2393","ZSH/Bash","Java","c","","",2
"2394","","","","","",
"2395","vba","diverse bactch script","Excel","","",1
"2396","","","","","",
"2397","","","","","",
"2398","Javascript","Java","","","",1
"2399","","","","","",
"2400","php","coldfusion","","","",3
"2401","PHP","","","","",2
"2402","bash","javascript","","","",1
"2403","","","","","",
"2404","sql","bash","c","","",1
"2405","","","","","",
"2406","","","","","",
"2407","php","c#","c++","","",1
"2408","","","","","",
"2409","c","assembly(x86)","python","c++","scheme",2
"2410","","","","","",
"2411","Python","c","awk","consistent changes","",5
"2412","","","","","",
"2413","Python","JavaScript","zsh","vimscript","Brainfuck",3
"2414","","","","","",1
"2415","javascript","excel","","","",1
"2416","JavaScript","HTML/CSS","SQL","","",1
"2417","Ruby","Java","C","python","C#",3
"2418","Bash shell","","","","",1
"2419","","","","","",
"2420","python","c++","java","","",1
"2421","PHP","vbscript","visual basic","C#","bash",2
"2422","php","javascript","c++","java","sql",3
"2423","","","","","",
"2424","python","Perl","sh","","",2
"2425","plpgsql","bash","plsql","","",1
"2426","","","","","",
"2427","java","c++","python","","",3
"2428","javascript","java","bash","","",1
"2429","","","","","",1
"2430","Java","Natural (see http://www.softwareag.com)","C++","","",3
"2431","shell","awk","c","","",1
"2432","","","","","",1
"2433","java","javascript","groovy","","",1
"2434","PHP","","","","",1
"2435","delphi","visual basic","c","javascript","ruby",1
"2436","","","","","",
"2437","","","","","",1
"2438","python","clojure","scheme","php","java",1
"2439","bash","php","python","javascript","actionscript",6
"2440","Javascript","","","","",1
"2441","java","javascript","php","vb","",5
"2442","perl","javascript","sql","","",1
"2443","","","","","",
"2444","C","java","","","",1
"2445","shell","c++","haskell","","",1
"2446","Perl","PHP","Ruby","","",1
"2447","Powerbuilder","C#","visual basic","","",1
"2448","javascript","sql","","","",1
"2449","","","","","",
"2450","python","C","bash","javascript","",1
"2451","","","","","",
"2452","Delphi","php","c++","ruby","",1
"2453","Perl","Ruby","","","",1
"2454","php","javascript","java","python","",3
"2455","Ruby","Shell","","","",2
"2456","bash","c","","","",1
"2457","ruby","php","lisp scheme","","",1
"2458","php","java","python","","",1
"2459","c++","Java","","","",3
"2460","Javascript","Python","C++","","",1
"2461","java","c","bash","","",2
"2462","F#","","","","",1
"2463","bash","DOS batch file programming","delphi","","",1
"2464","","","","","",
"2465","c","c++","php","perl","bash",3
"2466","javascript","ruby","python","java","scala",1
"2467","","","","","",
"2468","","","","","",
"2469","","","","","",1
"2470","C","C++","assembler","awk","bash",4
"2471","Scheme","C","Python","Scala","",6
"2472","C","Cobol","","","",2
"2473","SQL","Java","Ruby","php","c",1
"2474","","","","","",
"2475","C","Ruby","","","",1
"2476","C","","","","",1
"2477","php","javascript","java","ruby","",3
"2478","","","","","",
"2479","tcl","","","","",1
"2480","Tcl","C","","","",1
"2481","Scala","java","python","","",2
"2482","C","","","","",1
"2483","","","","","",1
"2484","c","Go","scheme","erlang","python",3
"2485","PHP","Perl","","","",2
"2486","c","bash","","","",1
"2487","Python","C++","Java","Haskell","",6
"2488","c++","lisp scheme","erlang","","",2
"2489","Java","C","C#","","",4
"2490","","","","","",
"2491","","","","","",
"2492","C","Make","C++","Python","Ruby",1
"2493","C","C++","""ShellScript""","awk","sed",1
"2494","php","python","javascript","html","css",6
"2495","bash","C","C++","php","python",2
"2496","bash","python","c","java","",1
"2497","bash","","","","",1
"2498","","","","","",
"2499","C","OCAML","RPG IV ILE","","",2
"2500","oracle pl/sql","bash","db2 sql","","",1
"2501","c","c++","sql","shell","java",1
"2502","","","","","",
"2503","","","","","",1
"2504","java","php","sql","","",4
"2505","","","","","",
"2506","Java","C","Shell","","",1
"2507","javascript","","","","",2
"2508","","","","","",
"2509","Python","c++","Jaava","","",2
"2510","java","javascript","xslt","bash","c",1
"2511","php","","","","",1
"2512","PHP","JavaScript","bash","objective c","",2
"2513","Python","C#","Lisp","C++","",5
"2514","java","","","","",1
"2515","powershell","sas","jcl","rexx","cobol",1
"2516","javascript","sql","php","forth","",1
"2517","","","","","",
"2518","shell","javascript","ruby","python","java",1
"2519","SQL","ruby","","","",1
"2520","php","bash","visual basic","","",3
"2521","PHP","Javascript","","","",3
"2522","bash","","","","",1
"2523","","","","","",
"2524","csh","","","","",1
"2525","C#","coldfusion","sql","c++","php",4
"2526","C","Shell","","","",1
"2527","","","","","",
"2528","Java","","","","",1
"2529","shell script","php","tcl tk","C","",1
"2530","Java","","","","",1
"2531","","","","","",1
"2532","javascript","ksh","c++","java","ruby",1
"2533","c++","c","matlab","lua","bash",2
"2534","bash","c","sql","","",1
"2535","bash","python","haskell","","",1
"2536","c","scheme","haskell","bash","smalltalk",6
"2537","","","","","",
"2538","Ruby","Python","C","R","C++",2
"2539","","","","","",
"2540","SQL","bash","javascript","java","",1
"2541","c#","php","javascript","pl sql","vbscript",5
"2542","C++","JavaScript","","","",1
"2543","javascript","","","","",1
"2544","java","c","c++","","",2
"2545","","","","","",
"2546","javascript","php","java","","",1
"2547","javascript","java","","","",1
"2548","Python","Ruby","Haskell","Common Lisp","",1
"2549","c","c++","","","",1
"2550","Java","","","","",2
"2551","perl","plpgsql","bash","","",1
"2552","php","JavaScript","python","Java","",3
"2553","objective c","ruby","zsh","","",1
"2554","Javascript","Java","","","",1
"2555","php","bash","","","",1
"2556","","","","","",
"2557","C","Shell","java","","",2
"2558","","","","","",
"2559","php","bash/batch","","","",1
"2560","javascript","bash","csh","c++","JAVA",1
"2561","Haskell","C","python","javascript","",3
"2562","php","applescript","javascript","","",1
"2563","PHP","C","Python","","",2
"2564","javascript","korn shell","Java","","",1
"2565","bash","c","php","python","sed",3
"2566","php","c","bash","","",1
"2567","c","sql","bash","python","ruby",1
"2568","Shell","JavaScript","","","",1
"2569","Shell","C","","","",1
"2570","java","bash","javascript","","",2
"2571","c++","php","","","",1
"2572","","","","","",
"2573","cgi","html","TCL/Expect","","",1
"2574","Ruby","Haskell","Python","","",2
"2575","shell","ruby","python","","",2
"2576","perl","bash","javascript","sql","php",1
"2577","javascript","","","","",1
"2578","c++","c","python","","",3
"2579","","","","","",
"2580","","","","","",
"2581","","","","","",1
"2582","","","","","",
"2583","python","java","tcl","c++","c#",2
"2584","sql","c++","c","bash","",1
"2585","c","bash","awk","fortran","c++",1
"2586","javascript","php","sh","","",1
"2587","python","java","bash","javascript","c",3
"2588","javascript","sql","ruby","","",1
"2589","python","Windows shell (batch)","c","","",1
"2590","","","","","",
"2591","java","javascript","php","go","lisp",2
"2592","Java","","","","",2
"2593","c++","c","","","",1
"2594","","","","","",
"2595","pl sql","bash","javascript","","",1
"2596","","","","","",
"2597","","","","","",
"2598","Ruby","javascript","Clojure","","",5
"2599","PHP","javascript","C++","Java","",3
"2600","Java","","","","",1
"2601","","","","","",
"2602","Pawn","pascal","C","assembler","",2
"2603","","","","","",
"2604","","","","","",
"2605","","","","","",
"2606","bash","sql","","","",1
"2607","","","","","",1
"2608","Ruby","bash","php","","",4
"2609","c","javascript","java","","",1
"2610","Lisp","C","","","",1
"2611","python","bash","","","",3
"2612","php","javascript","","","",2
"2613","","","","","",1
"2614","java","javascript","C++","","",1
"2615","JavaScript","PHP","ColdFusion","","",1
"2616","Python","C","Java","php","Ruby",5
"2617","","","","","",1
"2618","SQL","grace","sh","c","perl6",1
"2619","C#","Javascript","sql","bash","",3
