"","CPAN_1","CPAN_2","CPAN_3","CPAN_4","CPAN_5"
"2377","Template Toolkit","RWDE","DBI","CSS::Inliner",""
"2378","XML::Simple","sybperl","DBI","CGI::Application","Tk"
"2379","Net::DNS","Template Toolkit","CGI","Net::Blacklist::Client","Data::Dumper"
"2380","Event","Date::Manip","Data::Dumper","MIME::Lite","BerkeleyDB"
"2381","","","","",""
"2382","ClearCase::CtCmd","Devel::ptkdb","Devel::Cover","Params::Validate","Error"
"2383","","","","",""
"2384","","","","",""
"2385","CGI","DBI","DBD::mysql","DBD::Sybase","Data::Dumper"
"2386","Object::InsideOut","MIME::Base64","Data::Dumper","Time::HiRes","Storable"
"2387","POE","Log::Log4perl","Exception::Class","CGI::Fast","Test::Deep"
"2388","Catalyst","DBIx::Class","Template","Data::Dumper","Rose::HTML::Form"
"2389","","","","",""
"2390","","","","",""
"2391","","","","",""
"2392","DBI","LWP","XML::Simple","DBD::SQLite","Spreadsheet::WriteExcel"
"2393","","","","",""
"2394","","","","",""
"2395","CGI","DBI","DATA::DUMP","FindBin",""
"2396","","","","",""
"2397","","","","",""
"2398","","","","",""
"2399","","","","",""
"2400","DBD::ODBC","smtp","","",""
"2401","Data-FormValidator","","","",""
"2402","","","","",""
"2403","","","","",""
"2404","Data::Dumper","Getopt::Long","XML::Parser::PerlSAX","DBI","Log::Log4perl"
"2405","","","","",""
"2406","","","","",""
"2407","CGI","Text::Tmpl","DBI","",""
"2408","","","","",""
"2409","Math::GSL","NYTProf","LWP","",""
"2410","","","","",""
"2411","","","","",""
"2412","","","","",""
"2413","DBI","CGI::Application","DBIx::Class","DateTime","Acme::Bleach"
"2414","","","","",""
"2415","Search::Tools","","","",""
"2416","DBI","DBD::SQLite","CGI::Application","",""
"2417","Test::More","Sub::Override","List::Util","English","Test::Expectation"
"2418","","","","",""
"2419","","","","",""
"2420","Geo::Coordinates","DBI","Regexp::Genex","Graph","PAR"
"2421","Net::Address::Ethernet","Net::FTP","Net::Pcap","Net::Inet","Mysql"
"2422","Getopt::Std","AppConfig","RPC::XML::Client","Mail::Sendmail",""
"2423","","","","",""
"2424","Test::WWW::Selenium;","","","",""
"2425","DBI","Template","DBD::Pg","Catalyst::Runtime","DBIx::Class"
"2426","","","","",""
"2427","","","","",""
"2428","DBD::Pg","Template","Moose","XML::LibXML","Test::More"
"2429","","","","",""
"2430","Net::*","File::*","Tk::*","",""
"2431","","","","",""
"2432","bioperl","","","",""
"2433","Catalyst","Moose","POE","DBI","Data::Dumper"
"2434","DBI","","","",""
"2435","","","","",""
"2436","","","","",""
"2437","Data::Dumper","XML::Simple","ptkdb","",""
"2438","Moose","DBIx::Class","JSON::XS","TryCatch::Tiny","Parse::RecDescent"
"2439","","","","",""
"2440","Moose","Catalyst","DBIx::Class","Test::More","DateTime"
"2441","WWW::Mechanize","File::Find","","",""
"2442","DBI","CGI","mod_perl2","Apache::DBI",""
"2443","","","","",""
"2444","","","","",""
"2445","Template","mod_perl2","JSON","BerkeleyDB","LWP"
"2446","","","","",""
"2447","DBI","DBIx::Class","CGI::Application","Moose","Catalyst"
"2448","DBI::DBD","Apache2::RequestRec","Apache2::AuthCookie","DBD::mysql",""
"2449","","","","",""
"2450","","","","",""
"2451","","","","",""
"2452","","","","",""
"2453","WWW::Mechanize","DBIx::Class","Data::Dumper","HTML::TreeBuilder","XML::Simple"
"2454","","","","",""
"2455","WWW::Mechanize","","","",""
"2456","DateTime","","","",""
"2457","","","","",""
"2458","Class::DBI","DateTime","PDF::API2","Regexp::Assemble","Devel::NYTProf"
"2459","","","","",""
"2460","DBIx::Class","HTML::Expr","CGI","LWP","DateTime"
"2461","Getopt::Long","XML::Simple","SOAP::Lite","Time::HiRes","POSIX"
"2462","Data::Dumper","Devel::Peek","Benchmark","autodie",""
"2463","Template","DBM::Deep","DBD::Oracle","MIME::Lite","Config::Tiny"
"2464","","","","",""
"2465","","","","",""
"2466","DBI","mod_perl","HTML::Mason","Catalog","Test::More"
"2467","","","","",""
"2468","","","","",""
"2469","","","","",""
"2470","Gtk2","Glib","HOP::Lexer","",""
"2471","","","","",""
"2472","","","","",""
"2473","CGI","DBIx","mod_perl","Catalyst","DBIx::Class"
"2474","","","","",""
"2475","Expect","HTML::Mason","","",""
"2476","Moose","DBI","","",""
"2477","DBI","Template","XML::All","LWP","Moose"
"2478","","","","",""
"2479","XML::Parser","Date::Format","Mail::Sender","File::Copy","XML::Writer"
"2480","","","","",""
"2481","Net::LDAP","Template-Toolkit","Getopt::Long","Date::Calc",""
"2482","","","","",""
"2483","DBD::mysql","DBI::DBD","Term::ANSIColor","CGI",""
"2484","DBI","Catalyst","TT","",""
"2485","Locale::gettext","CGI","DBI","Pod::Html",""
"2486","Tk","DBI","CGI","IO::Socket / IO::Select","YAML"
"2487","XML::LibXML","String::Approx","Lingua::Ident","",""
"2488","Moose","DBI","Catalyst","Net::SNMP","IO::All"
"2489","","","","",""
"2490","","","","",""
"2491","","","","",""
"2492","DBI","mod_perl","","",""
"2493","Data::Dumper","App::Rad","App::Rad::Plugin::TT","Template","strict"
"2494","","","","",""
"2495","IO::Socket::INET","POE","CGI::Simple","Email::MIME","File::Util"
"2496","Devel::StackTrace","IO::SendFile","IO::Epoll","",""
"2497","","","","",""
"2498","","","","",""
"2499","DBI","DateTime","","",""
"2500","DBI","DBD::Oracle","CGI","XML::Simple","File::Copy"
"2501","","","","",""
"2502","","","","",""
"2503","DBI","XML::Simple","LWP","Time::Piece","CGI"
"2504","LWP","XML::Simple","DBD::mysql","",""
"2505","","","","",""
"2506","","","","",""
"2507","","","","",""
"2508","","","","",""
"2509","Perl::Critic","Perl::Tidy","warnings","strict","YAML"
"2510","Data::Dumper","DBI","Carp","DateTime",""
"2511","CGI","DBI","Text::Template","CGI::Session","MIME::Lite"
"2512","CGI","DBI","XML","",""
"2513","","","","",""
"2514","","","","",""
"2515","File::Copy","Date::Calc","Mail::Sender","Net::FTP","Win32::AdminMisc"
"2516","DBI","HTML::Mason","Data::Dumper","CDB_File","Error"
"2517","","","","",""
"2518","Catalyst","Data::Dump","Log::Log4perl","DBIx::Simple","Net::Server"
"2519","File::BaseName","File::Temp","File::Path","IO::Scalar","File::Spec::Functions"
"2520","","","","",""
"2521","","","","",""
"2522","Getopt::Long","File::Basename","Data::Dumper","DateTime","DBI"
"2523","","","","",""
"2524","Net::Patricia","Net::SNMP","Date::Parse","",""
"2525","Archive::Zip","XML::XPath","HTML::Stream","",""
"2526","","","","",""
"2527","","","","",""
"2528","DBI","Net::LDAP","YAML","SOAP","DateTime"
"2529","Time::Local","DBI","LWP","POSIX","Curses"
"2530","Catalyst","","","",""
"2531","DBI","","","",""
"2532","DBI","Perl::Critic","LWP","Test::More","Getopt::Long"
"2533","","","","",""
"2534","Getopt::Long","NetServer::Generic","Storable","XML::Parser","Set::Scalar"
"2535","DBIx:Class","Net::LDAP","Catalyst","DBI","NetAddr::IP"
"2536","","","","",""
"2537","","","","",""
"2538","DBI","Getopt::Long","Time::Local","List::Util","Symbol"
"2539","","","","",""
"2540","","","","",""
"2541","CGI","CGI::Lite","DBI/DBD::*","LWP","Mail::SendEasy"
"2542","Catalyst","DBIx::Class","Moose","Data::Dumper","HTML::FormHandler"
"2543","DBI","LWP","JSON","HTML::Parser","DateTime"
"2544","","","","",""
"2545","","","","",""
"2546","DBI","","","",""
"2547","","","","",""
"2548","DBI","Catalyst","Moose","Template",""
"2549","DBI","CGI::Application","EV","Net::LDAP","DateTime"
"2550","DBI","LWP","MIME::Tools","BZ::Client","RPC::Server"
"2551","","","","",""
"2552","HTML::Mason","strict","warnings","URI","mod-perl"
"2553","Moose","LWP::UserAgent","XML::LibXML","Date::Calc","HTML::TokeParser"
"2554","XML::Simple","XML::LibXML","CGI::Prototype","",""
"2555","l4perl","app::config","data::dumper","",""
"2556","","","","",""
"2557","","","","",""
"2558","","","","",""
"2559","","","","",""
"2560","Fortran::F90Format","Fortran::Namelist","DBI","XML::Simple","Data::Dumper"
"2561","Net::OpenSoundControl","YAML","WWW::Mechanize","",""
"2562","LWP::UserAgent","Dancer","Plack","XML::Twig","Template"
"2563","LWP::Simple","IO::Select","","",""
"2564","DBI","Storable","Data::Dumper","Date::Calc","XML::Parser"
"2565","DBI","Net::*","XML::*","",""
"2566","","","","",""
"2567","Digest::SHA","Config::INI","Log::Dispatch","Digest::MD5","ZOOM"
"2568","SOAP::Lite","JSON::XS","Moose","Expect","Date::Calc"
"2569","Test::More","DBI","LWP","Devel::REPL","XML::LibXML"
"2570","BioPerl","Moose","Template Toolkit","",""
"2571","BioPerl","DBI","Memoize","Dancer","Plack"
"2572","","","","",""
"2573","","","","",""
"2574","List::Utils","DateTime","Number::Bytes::Human","",""
"2575","LWP","Moose","Net::Server","Catalyst","Template"
"2576","Moose","DBIx::Class","DBI","Expect","Dancer"
"2577","DBIx::Class","Catalyst","Moose","JSON","DateTime"
"2578","getopts","","","",""
"2579","","","","",""
"2580","","","","",""
"2581","Catalyst","DBIx::Class","Template-Toolkit","HTML::FormFu","WxPerl"
"2582","","","","",""
"2583","DBI","DBI","DBI","Error","Template"
"2584","strict","warnings","DBI","Test::More","Data::Dumper"
"2585","DBI","CGI","Data::Dumper","threads","LWP"
"2586","Data::Dumper","CGI","File::Basename","PDF::API2","Gearman::Client"
"2587","","","","",""
"2588","Catalyst","DBIx::Class","Template","Date::Calc","LWP"
"2589","Text::Autoformat","Win32::Clipboard","Devel::REPL","Win32::Console::ANSI","HTML::Tree"
"2590","","","","",""
"2591","","","","",""
"2592","Exceptions","Moose","Confess","Audio::File",""
"2593","","","","",""
"2594","","","","",""
"2595","AnyEvent","AnyEvent::MP","AnyEvent::Handle","IO::AIO","AnyEvent::DBI"
"2596","","","","",""
"2597","","","","",""
"2598","","","","",""
"2599","","","","",""
"2600","DBI","","","",""
"2601","","","","",""
"2602","","","","",""
"2603","","","","",""
"2604","","","","",""
"2605","","","","",""
"2606","","","","",""
"2607","Data::Dumper","DBI","LWP","CGI","WWW::Mechanize"
"2608","DBD::Oracle","DBIx::ProcedureCall::Oracle","LWP","",""
"2609","DBIx::Class","CGI","LWP","Search::Xapian","WWW::Mechanize"
"2610","HTML::Mason","Class::DBI","HTML::Template","Data::Dumper","DBI"
"2611","","","","",""
"2612","CGI","DBI","XML::Simple","LWP::UserAgent","Tie::IxHash"
"2613","Win32::OLE","Text::CSV","Win32::TieRegistry","",""
"2614","DBI","Date::PCalc","Catalyst","Spreadsheet::WriteExcel","JIRA::Client"
"2615","Encode","XML::Parser","HTML::Entities","Text::CSV_XS",""
"2616","","","","",""
"2617","","","","",""
"2618","DBI with DBD","Template","Test::More","Object::InsideOut","Tk"
"2619","","","","",""
"2620","","","","",""
"2621","","","","",""
"2622","tk","poe","moose","dist::zilla","moosex::poe"
"2623","Class::DBI","HTML::Mason","","",""
"2624","Template","CGI::Application","DBI","Memcached::libmemcached","LWP"
"2625","strict","warnings","DBI","",""
"2626","LWP","POE","Moose","Template","Exception::Class"
"2627","Moose","Sub::Exporter","Email::Sender","HTML::Mason","JSON"
"2628","","","","",""
"2629","None anymore unfortunately","","","",""
"2630","DBI","Template","Catalyst","",""
"2631","DBI","LWP","CHI","HTML::Template::Compiled",""
"2632","","","","",""
"2633","","","","",""
"2634","Net::SSH2","Crypt::ECDSA","","",""
"2635","","","","",""
"2636","Catalyst","LWP::UserAgent","Moose","",""
"2637","","","","",""
"2638","","","","",""
"2639","DBI","Getopt::Long","Sys::Syslog","IO::File","Carp"
"2640","","","","",""
"2641","DBI","CGI","POE","mod_perl",""
"2642","Catalyst","Moose","DBIx-Class","DBI","DateTime"
"2643","POSIX","DBD::Oracle","File::Find","XML::Simple","Events"
"2644","","","","",""
"2645","Moose","DBI","DBIx::Class","Catalyst","LWP"
"2646","Net::Twitter","AnyEvent::Twitter::Stream","Browser::Open","JSON::XS","Sys::Statistics::Linux"
"2647","","","","",""
"2648","","","","",""
"2649","","","","",""
"2650","XML::LibXML::XPathContext","threads","BSD::Resource","Log::Log4perl",""
"2651","DBI","DBD::Pg","Apache::DBI","IO::Socket::SSL","LWP"
"2652","Getopt::Long","Net::LDAP","XML::Simple","LWP::UserAgent","Data::Dumper"
"2653","","","","",""
"2654","","","","",""
"2655","DBI","DBIx","Catalyst","Moose",""
"2656","","","","",""
"2657","","","","",""
"2658","ack","","","",""
"2659","","","","",""
"2660","","","","",""
"2661","Lingua::EN::Fathom","Lingua::EN::Tagger","","",""
"2662","Moose","DBI","Rose::DB::Object","JSON::XS","KiokuDB"
"2663","","","","",""
"2664","Catalyst","DBIx::Class","Digest::Perl::MD5","HTML::FormFu","DBI"
"2665","","","","",""
"2666","Moose","ARS","Remedy::ARSTools","Error","XML::Compile"
"2667","","","","",""
"2668","planet::irradiate","VisualC#.NET","","",""
"2669","DBI","LWP","HTML","Graph","Parse"
"2670","","","","",""
"2671","Template::Toolkit","Test::More","Class::DBI","DBIx::Class",""
"2672","DBI","DateTime","Catalyst","DBIx::Class","Moose"
"2673","DBI","Data::Dumper","MIME::Lite","LWP::UserAgent","CGI"
"2674","Net::SSH2","threads","POSIX","CGI::Fast","Petal"
"2675","","","","",""
"2676","","","","",""
"2677","DBI","Test::More","Spreadsheet::WriteExcel","Getopt::Long","Mime::Lite"
"2678","","","","",""
"2679","DBI:","DBD::Oracle","DBD::Informix","",""
"2680","","","","",""
"2681","","","","",""
"2682","Net::SSH2","Catalyst","Perl::Tidy","",""
"2683","","","","",""
"2684","","","","",""
"2685","List::Util","List::MoreUtils","Data::Dumper","Devel::NYTProf","LWP"
"2686","","","","",""
"2687","Moose","Catalyst","","",""
"2688","Bio::Perl","LWP","DBI","Template::Toolkit","GD"
"2689","FFT","","","",""
"2690","IO::Socket","LWP::Simple","XML::SAX","Win32::ODBC","Data::Dumper"
"2691","","","","",""
"2692","","","","",""
"2693","Test::More","DateTime","Data::Dumper","Memcached","Mail::Sender"
"2694","Catalyst","DBIx::Class","HTML::Template","Template::Toolkit::Simple",""
"2695","Catalyst","DBIx::Class","Moose","LWP",""
"2696","Data::Dumper","DBI","Benchmark","CGI","Getopt::Long"
"2697","Net::LDAP","WWW::Mechanize","Catalyst","",""
"2698","DBI","Template","Crypt::CBC","Parse::YAPP","Pod::Abstract"
"2699","DBI","LWP","XML-Parser","",""
"2700","Data::Dump","CGI","File::Stat","File::Slurp","strict"
"2701","Getopt::Long","Date::Manip","SSH::Command","",""
"2702","DBI","XML::Parser","Spreadsheet::ParseExcel","Spreadsheet::WriteExcel","DateTime"
"2703","XML::LibXML","Encode","File::Spec","Lingua::EN::Sentence","LWP::Simple"
"2704","Log::Dispatch","Getopt::Long::Descriptive","Net::LDAP","",""
"2705","DBI","CGI","","",""
"2706","","","","",""
"2707","LWP","","","",""
"2708","","","","",""
"2709","","","","",""
"2710","DBI","","","",""
"2711","","","","",""
"2712","XML::RPC","File::SearchPath","Data::Dumper","DBI","and so on"
"2713","","","","",""
"2714","DBI","Catalyst","Moose","DBIx::Class","Apache2::Controller"
"2715","Date::Calc","Business::OnlinePayment::AuthorizeNet","Apache::<anything>","",""
"2716","DBI","LWP","XML::LibXML","Digest::SHA","Apache2"
"2717","CGI","Apache2::RequestRec","Apache2::Request","DBI","CGI::Lazy"
"2718","","","","",""
"2719","DBI","LWP","Win32::API","Image::Magick","CGI"
"2720","DBI","DBD::PG","CGI","mod_perl2","Date::Calc"
"2721","","","","",""
"2722","DBIx::Class","Template","Catalyst","",""
"2723","DBD::mysql","DBD::Pg","DBD::SQLite2","Sys::Hostname",""
"2724","Mail::SpamAssassin","LWP","Mail::DKIM","Statistics::Basic","RRD::Simple"
"2725","","","","",""
"2726","Net::Telnet","WWW::Mechanize","CGI","LWP","Session"
"2727","Data::Dumper","DBI","Test::More","Exporter","Log::Log4perl"
"2728","","","","",""
"2729","","","","",""
"2730","DBI","Moose","Path::Class","DBD::Oracle",""
"2731","DBD::mysql","Net::SNMP","SOAP::Lite","Digest","Image::Magick"
"2732","DBI","CGI","Spreadsheet::WriteExcel","HTML::Table","Date::Calc"
"2733","","","","",""
"2734","","","","",""
"2735","Tie::IxHash","DBD::mysql","DBD::Pg","DBD::SQLite2","WWW"
"2736","Data::Dumper","DBI","XML::Simple","Tie::File","File::Slurp"
"2737","DBI","Perl::Tidy","Carp","Data::Dump","Perl::Critic"
"2738","Catalyst","EV","XML::LibXML","Template","IO"
"2739","Data::Dumper","VMS::IndexedFile","HTML::Template","File::*","Getopt::Std"
"2740","CGI-Application","DBI","DBIx::Class","Template::Toolkit","HTML::Template"
"2741","","","","",""
"2742","","","","",""
"2743","DBI","Test::More","Module::Build","Perl::Critic","LWP::UserAgent"
"2744","","","","",""
"2745","Catalyst","WWW::Mechanize","SQL::Translator","Test::Class","Template"
"2746","DBI","Locale::Recode","","",""
"2747","Catalyst","DBI","Authen::Krb5","Net::SNMP","Mail::IMAPClient"
"2748","","","","",""
"2749","","","","",""
"2750","DBI","CGI","Cache::Memcached","Data::Dumper","Carp"
"2751","DBI","LIst::MoreUtils","Data::Dumper","PerlCritic","Test::Class"
"2752","","","","",""
"2753","","","","",""
"2754","DBI","Net::FTP","Time::Local","Getopt::Long","WWW::Mechanize"
"2755","IO::Socket","XML::Smart","WWW::Mechanize","CGI","NET::IPFilter"
"2756","DBIx::Class","Catalyst","Test::Class","Moose","Data::Dumper"
"2757","","","","",""
"2758","DBI","Template","mod_perl2","JSON::XS","Encode"
"2759","DBI","HTML::Mason","CGI","DBD::DB2","DBD::Sybase"
"2760","AptPkg","POSIX","List","YAML","File"
"2761","DBI","XML::Easy","Memcached::libmemcached","Scope::Upper","Devel::Declare"
"2762","","","","",""
"2763","CPAN","Log::Report","XML::Compile","XML::Compile::SOAP","OODoc"
"2764","","","","",""
"2765","Test::Harness","Test::MockModule","DBIx::Class","Class::Std::Utils","Params::Validate"
"2766","","","","",""
"2767","","","","",""
"2768","PDL","Getopt::Long::Descriptive","Module::Install","Astro::FITS::CFITSIO::Simple",""
"2769","","","","",""
"2770","Moose","Catalyst","DBI","HTTP::Engine","Test::Sweet"
"2771","XML::LibXML","LWP","WWW::Mechanize","KiokuDB","Mojo"
"2772","","","","",""
"2773","","","","",""
"2774","","","","",""
"2775","Moose","MooseX::Declare","XML::Simple","Config::Tiny","Try::Tiny"
"2776","DateTime","DBD::Oracle","XML-Parser","Mailtools",""
"2777","POE","Win32::OLE","CPANPLUS::YACSmoke","Moose","Module::Install"
"2778","WWW::Curl","Carp","Sys::Syslog","Devel::Stacktrace","DBI"
"2779","catalyst","","","",""
"2780","Test::More","Moose","Catalyst","JSON::XS","Date::Calc"
"2781","","","","",""
"2782","","","","",""
"2783","Moose","DBIx::Class","Catalyst","Plack","DateTime"
"2784","DBI","SNA::Network","Term::ProgressBar::Simple","Web::Scraper","CGI"
"2785","DBIx::Class","DBI","Moose","Template","Apache::SOAP"
"2786","","","","",""
"2787","YAML::Syck","DBD::mysql","IO::Socket::SSL","Curses::UI - all","IO::Compress - all"
"2788","","","","",""
"2789","DBI","DBD::Oracle","Spreadsheet::WriteExcel","SQL::Library","Dancer"
"2790","","","","",""
"2791","","","","",""
"2792","DBI","TT","CGI","LWP","Moose"
"2793","","","","",""
"2794","","","","",""
"2795","","","","",""
"2796","LWP","Barcode::Code128","Barcode","Event","Excel::Template"
"2797","DBI","DBD::Oracle","Spreadsheet::ParseExcel","Spreadsheet::WriteExcel","CGI"
"2798","strict","Carp","Scalar::Util","List::Util","Symbol"
"2799","warnings","strict","Carp","5.006","utf8"
"2800","","","","",""
"2801","","","","",""
"2802","DBI","DBIx::Class","","",""
"2803","","","","",""
"2804","DBI","Moose","Params::Smart","Mojo","Encode"
"2805","","","","",""
"2806","POE","mod_perl","DBI","Moose","LWP"
"2807","TAP::Harness","Template","DBI","mod_perl2","HTML::TreeBuilder"
"2808","Net::LDAP","Authen::XXXX","","",""
"2809","cgi","Curses::UI::Calendar","File::DirList","Data::Dumper","HTML::Calendar::Simple"
"2810","BioPerl","Statistics","","",""
"2811","XML::Simple","XML::XPath","Win32::OLE","DBI","DBD::ODBC"
"2812","","","","",""
"2813","IO::Socket::SSL","LWP::UserAgent","IPC::Open2","DBIx::Simple","XML::LibXML"
"2814","","","","",""
"2815","","","","",""
"2816","","","","",""
"2817","Data::Dumper","DBI","XML::Simple","IO::Socket::INET","MIME::Lite"
"2818","strict","Getopt::Std","Data::Dumper","DBD::mysql","IO::Socket"
"2819","Test::Differences","Net::LDAP","DateTime","Catalyst","WWW::Mechanize"
"2820","DBD::Pg","Win32","FCGI","CGI","Prima"
"2821","","","","",""
"2822","DBI","Text::CSV","Template","WWW::Mechanize","LWP::UserAgent"
"2823","","","","",""
"2824","MIME::Tools","LWP","Net::DNS","",""
"2825","","","","",""
"2826","Socket","MIME::Base64","","",""
"2827","DBI","Devel::NYTProf","HTML::Mason","MasonX::Interp::WithCallbacks","App::Cpanminus"
"2828","Catalyst","DBIx::Class","Moose","",""
"2829","DBIx::Class","Template","DBIx::Class::Schema::Loader","CGI::FormBuilder","DateTime"
"2830","","","","",""
"2831","","","","",""
"2832","","","","",""
"2833","","","","",""
"2834","","","","",""
"2835","","","","",""
"2836","Acme::Bleach","Spam::send","","How to kill a mocking bird?",""
"2837","","","","",""
"2838","","","","",""
"2839","","","","",""
"2840","Log::Log4perl","File::Spec","autodie","Test::More","PDF::API2"
"2841","Net::LDAP","Net::Daemon","XML::Simple","Log::Log4perl","forks"
"2842","DBI","Storable","Socket","MIME::Lite","IPC::Cmd"
"2843","www","json","xml","",""
"2844","POE","YAML","Data::Dumper","XML::Simple","Parse::RecDescent"
"2845","File::Find","DBI","Getopt::Long","",""
"2846","","","","",""
"2847","Tk","","","",""
"2848","Text::CSV_XS","","","",""
"2849","Moose","DBIx::Class","Catalyst","YAML::XS","POE"
"2850","","","","",""
"2851","","","","",""
"2852","","","","",""
"2853","","","","",""
"2854","","","","",""
"2855","CGI module (Stein)","Getopt-Long","Log::Log4perl","",""
"2856","","","","",""
"2857","","","","",""
"2858","","","","",""
"2859","XML::Twig","LWP","SOAP::Lite","",""
"2860","HTML::Mason","mod_perl","JSON","Log::Log4perl","IPC::Cmd"
"2861","Catalyst","DBIx::Class","Moose","Template::Toolkit","DBI"
"2862","","","","",""
"2863","Net::Ping","DBD::mysql","","",""
"2864","Getopt::*","Memoize","Convert::Binary::C","strict","Net::Telnet"
"2865","","","","",""
"2866","CGI","DBI","LWP","Spreadsheet::WriteExcel","MIME::Parser"
"2867","","","","",""
"2868","DBI","Net::LDAP","Data::Dumper","LWP","Net::SFTP::Foreign"
"2869","","","","",""
"2870","","","","",""
"2871","DBI","mod_perl2","Template::Toolkit","",""
"2872","","","","",""
"2873","Moose","Catalyst","Template","DBI","Acme::Orange"
"2874","POE","Test::More","Module::Build","Readonly","base"
"2875","CGI","XML::RSS","LWP::Simple","MP3::Info","File::Copy"
"2876","Test::More","Bioperl","XML::DOM","",""
"2877","XML::Parser","HTTP::Client","","",""
"2878","DBI","DBD::Oracle","XML::Simple","Log::Log4perl","Config::General"
"2879","","","","",""
"2880","cgi","DBI","DBD::mysql","Tie::IxHash","CGI::Carp"
"2881","","","","",""
"2882","Date::Manip","DBI","DBD::mysql","",""
"2883","DBI","Data::Dumper","IO::File","Getopt",""
"2884","LWP*","URI","","",""
"2885","AnyEvent","Fuse","DBD::SQLite","Devel::NYTProf","Inline"
"2886","","","","",""
"2887","Moose","LWP","JSON::XS","",""
"2888","","","","",""
"2889","","","","",""
"2890","List::AllUtils","Data::Dumper","Tree::Nary","",""
"2891","DBI","Crypt::Blowfish","Digest::SHA256","Net::Telnet","Text::CSV"
"2892","Apache","Net::DNS","HTML::Mason","Net::Server","Apache::Request"
"2893","DBI","","","",""
"2894","YAML::Syck","Memoize","POSIX","File::Find","DBI"
"2895","DBI","Moose","XML::Tidy","Apache2::*","Catalyst"
"2896","","","","",""
"2897","","","","",""
"2898","","","","",""
"2899","Class::DBI","DBIx::Class","Catalyst","Template","Apache::Mason"
"2900","Test::More","Module::Build","Moose","App::Ack","IPC::System::Simple"
"2901","RRDs (comes with RRDTool)","Expect","SNMP","Data::Dumper::Simple","Test::Most"
"2902","","","","",""
"2903","","","","",""
"2904","","","","",""
"2905","DBI","XML::Simple","soap","",""
"2906","","","","",""
"2907","","","","",""
"2908","mod_perl","DBI::DBD","libapr","DBD::Oracle",""
"2909","Net::ACL::File::RouteMap","strict","warnings","",""
"2910","DBI","HTML::Macro","Devel::NYTProf","URI","CGI"
"2911","","","","",""
"2912","","","","",""
"2913","XML::API","","","",""
"2914","","","","",""
"2915","","","","",""
"2916","DBI","CGI","Storable","",""
"2917","","","","",""
"2918","DBI","Cache::Memcached","Scalar::Util","Getopt::Long","Gearman::XS"
"2919","Catalyst","DBIx::Class","BioPerl","HTML::Mason","TheSchwartz"
"2920","DBIx::Class","Moose","Test::Harness","Data::DPath","HTML::Mason"
"2921","","","","",""
"2922","Test::More","CGI","WWW::Mechanize","DBI","Moose"
"2923","CGI","DBI","Template","POE","Crypt::Lite"
"2924","","","","",""
"2925","Moose","LWP","DBI","",""
"2926","Text::CSV_XS","Data::Dumper","LWP","Test::More","YAML"
"2927","DBI","Catalyst","DBIx::Class","Moose","DateTime"
"2928","","","","",""
"2929","CGI","Getopt::Long","XML::Simple","GTK2","overload"
"2930","Data::Dumper","Readonly","Test::More","Test::Exception","Test::Mock"
"2931","EV","AnyEvent","Coro","",""
"2932","","","","",""
"2933","DBI","Solaris::SMF::Service","Net::LDAP","Socket","Authen::Krb5"
"2934","Catalyst","WWW::Mechanize","DBIx::Class","Moose","List::Compare"
"2935","","","","",""
"2936","Net::DNS","Getopt::Long","POSIX","Win32::NetAdmin","DateTime::Format"
"2937","","","","",""
"2938","DBD::mysql","GD","Image::Resize","Mail::Sendmail","PDF"
"2939","","","","",""
"2940","XML::Simple","Net::Amazon","PDF::API2","Net::Twitter","File::Rsync"
"2941","","","","",""
"2942","DBI","URI","LWP","Bio","Net::LDAP"
"2943","Data::Dumper","CGI","Date::Calc","Regexp::Common","Sysadm::Install"
"2944","","","","",""
"2945","","","","",""
"2946","Moose","DBIx::Class","Catalyst","",""
"2947","Catalyst","DBIx::Class","CGI::Application","Class::DBI","Data::FormValidator"
"2948","Moose","Catalyst","Tie","Qt4",""
"2949","CGI","DBI","Catalyst","",""
"2950","","","","",""
"2951","","","","",""
"2952","Bio::SeqIO","Bio::DB::GenBank","Bio::SearchIO","Image::Magick","Math::Stat"
"2953","DBI::DBD","Exception::Class","Moose","LWP","Data::Dump"
"2954","DBI::Oracle","","","",""
"2955","Moose","","","",""
"2956","Net::Wake","Spreadsheet::ParseExcel","Spreadsheet::WriteExcel","Net::SMTP","Net::SMTP::TLS"
"2957","","","","",""
"2958","","","","",""
"2959","","","","",""
"2960","CGI","HTML::Template","Mail::Sendmail","XML::Writer","XML::Simple"
"2961","","","","",""
"2962","","","","",""
"2963","","","","",""
"2964","","","","",""
"2965","HTML::Element ","WWW::Form ","","",""
"2966","SOAP::Lite","XML::Simple","Data::Dumper","",""
"2967","","","","",""
"2968","Catalyst","XML::LibXML","XML::XPath","JSON::XS","Apache::Log"
"2969","DBI","DBD::Pg","Exception::Class","",""
"2970","DBI","DBD::mysql","LWP","",""
"2971","","","","",""
"2972","","","","",""
"2973","","","","",""
"2974","","","","",""
"2975","IO::Socket","threads","FileHandle","Time::HiRes","SDL"
"2976","","","","",""
"2977","DBI","HTML::Mason","Moose","",""
"2978","TAP::*","DBI","","",""
"2979","","","","",""
"2980","Moose","DBIx::Class","Test::Class","WWW::Mechanize","DateTime"
"2981","XML::XPath","XML::Simple","Getopt::Long","",""
"2982","Catalyst","Moose","Plack","DBIx::Class","Text::CSV"
"2983","","","","",""
