"","running_perl_program_across_mult_platforms_easy","cross_platform_perl_programming_comments"
"1791",5,""
"1792",5,"The advent of Strawberry Perl is a welcome alternative to the Active State product."
"1793",NA,""
"1794",5,"Easy most of the time, if you know what NOT to do"
"1795",5,""
"1796",NA,""
"1797",6,""
"1798",NA,""
"1799",NA,""
"1800",NA,""
"1801",5,""
"1802",7,"Java claims to be cross-platform - But only runs on JVMs, Apps are suprinsingly unportable in practice: Write once, crash (almost) everywhere!  But with portable code, ported CPAN modules and PAR even cross-platform deployment is doable."
"1803",6,""
"1804",5,""
"1805",5,""
"1806",NA,""
"1807",NA,""
"1808",NA,""
"1809",1,""
"1810",3,""
"1811",6,""
"1812",NA,""
"1813",NA,""
"1814",5,""
"1815",NA,""
"1816",6,""
"1817",5,"It's generally easy to do, if you use the right modules and idioms."
"1818",NA,""
"1819",7,""
"1820",NA,""
"1821",7,"I thankfully can ignore windows. I am yet to have a problem with Linux <-> Mac compatibility."
"1822",NA,""
"1823",6,""
"1824",6,"Unfortunately, Windows is still not seen as a first-class citizen by many CPAN module writers."
"1825",NA,""
"1826",4,"perl is not that perfect for cross platform, but its also not bloacking it, that means the way is right, its just not still a big part to reach a beloved level."
"1827",6,""
"1828",6,""
"1829",NA,""
"1830",NA,""
"1831",NA,""
"1832",1,""
"1833",6,""
"1834",NA,""
"1835",NA,""
"1836",2,""
"1837",NA,""
"1838",NA,""
"1839",1,""
"1840",3,""
"1841",6,"I wish more people would program with portability in mind, but it's understandable that scripts grow organically, and something that gets shelled out un-portably isn't the end of the world."
"1842",7,"love it!"
"1843",5,""
"1844",1,""
"1845",1,""
"1846",NA,""
"1847",1,""
"1848",7,""
"1849",5,"I rarely have done it, but generally it hasn't had many issues."
"1850",NA,""
"1851",5,""
"1852",4,"Windows still needs to be supported better."
"1853",1,""
"1854",5,""
"1855",5,"tried to use a mac perl library to extract information from an iPhone. but the lib was only running on mac os."
"1856",NA,""
"1857",NA,""
"1858",7,""
"1859",5,"It gets harder the farther you move from the command line."
"1860",4,""
"1861",5,""
"1862",7,"It's fucking awesome."
"1863",7,""
"1864",1,""
"1865",5,""
"1866",4,""
"1867",NA,""
"1868",6,"Doing this on a day-to-day basis on the job. It's most convenient to abstract away the OS-specific stuff in some module and write the rest of the project not caring what it runs on."
"1869",6,""
"1870",6,""
"1871",NA,""
"1872",6,""
"1873",NA,""
"1874",6,""
"1875",4,""
"1876",5,""
"1877",4,"it's possible"
"1878",7,"The greatest advantage as far as I am concerned. Capital for my activity, and the main reason why I am using perl."
"1879",4,"Fork behavior on Windows still causes problems."
"1880",6,""
"1881",NA,""
"1882",NA,""
"1883",NA,""
"1884",NA,""
"1885",NA,""
"1886",2,""
"1887",6,""
"1888",6,""
"1889",NA,""
"1890",NA,""
"1891",1,""
"1892",6,""
"1893",4,""
"1894",5,""
"1895",7,"Perl is the second most prevalent cross-platform programming language (behind C)."
"1896",5,""
"1897",7,""
"1898",7,""
"1899",NA,""
"1900",6,"Works for me for what I do which is primarily ETL work. "
"1901",1,""
"1902",1,""
"1903",4,""
"1904",5,"For the most part cross-platform code I write works well; issues typically arise from incomplete implementations in CPAN packages."
"1905",6,"usually really easy. But really bad (and complex), of not..."
"1906",NA,""
"1907",NA,""
"1908",5,""
"1909",NA,""
"1910",6,"I've never tried Perl on Windows, but it's very portable across unix-like systems."
"1911",4,""
"1912",5,"Making sure file paths are portable kills me (yes, even with File::Spec, Path::Class). Tests are often a culprit."
"1913",NA,"No problem, unless I run into XS modules..."
"1914",5,"Windows and pre-X Mac are problematic. "
"1915",1,""
"1916",NA,""
"1917",NA,""
"1918",NA,""
"1919",NA,""
"1920",NA,""
"1921",NA,""
"1922",6,"Mostly flawless. "
"1923",6,""
"1924",NA,""
"1925",NA,""
"1926",NA,""
"1927",2,"Hah![CR]Fine as long as you don't want to actually run any programs or anything."
"1928",NA,""
"1929",1,""
"1930",6,"Cross platform Perl programming is relatively easy. Cross platform testing is a huge pain in the butt though."
"1931",6,""
"1932",NA,""
"1933",5,"Not needed to often, but never had issues when I have."
"1934",NA,""
"1935",6,""
"1936",5,"Fix threading. The only reason I mess with stuff like AnyEvent is that you can't do a multi-threaded network server."
"1937",6,""
"1938",NA,""
"1939",7,"Porting to JVM / CLR would be a miracle."
"1940",NA,""
"1941",5,"Definitely necessary, so users don't stumble over the little incompatibilities or bugs.  Alas the very valuable service of CPAN testers is frustrating, because I never got an answer when requesting failure details.  There should be access to the directory where the test failed, and a possibility to try patches there before deploying a new version to CPAN."
"1942",2,"If we had that WE would have a PVM and would have surpassed Java in popularity by now, even though we like far surpass them in platforms supported and in production code still running everywhere!"
"1943",4,""
"1944",7,""
"1945",NA,""
"1946",5,""
"1947",NA,""
"1948",1,""
"1949",7,"No, but I'd like to note that the multiselect widgets don't work on the iPad, so my survey answers may be incomplete."
"1950",1,""
"1951",5,""
"1952",4,""
"1953",1,""
"1954",1,""
"1955",5,"Between OS X and Linux, doesn't seem to be so bad."
"1956",7,""
"1957",NA,""
"1958",3,""
"1959",4,""
"1960",NA,""
"1961",5,""
"1962",5,""
"1963",7,""
"1964",NA,""
"1965",4,""
"1966",7,"Have never faced serious problems with it."
"1967",NA,""
"1968",NA,""
"1969",5,""
"1970",NA,""
"1971",7,""
"1972",6,"Out of the box Perl is perfect. CPAN modules somtimes make problems."
"1973",6,""
"1974",6,""
"1975",NA,""
"1976",4,"I find that packaging CPAN modules as Debian packages makes handling them rather easier than dealing with them through CPAN.pm.  As such, I really prefer to deploy to Debian or Ubuntu; platforms without dpkg support seem like a PITA by comparison."
"1977",NA,""
"1978",6,"Some gotchas on Windows with process control"
"1979",6,""
"1980",NA,""
"1981",6,""
"1982",1,""
"1983",6,"Strawberry Perl has satisfied almost all of my complaints.  ExtUtils::MakeMaker can disappear, however."
"1984",NA,""
"1985",1,""
"1986",3,"Perl portability is good, but it takes a lot of work to keep it that way."
"1987",3,""
"1988",6,""
"1989",6,"never had any issues across osx/linux/solaris"
"1990",3,""
"1991",5,"Things like working with processes could be more platform independant."
"1992",NA,""
"1993",5,"More people should be made aware of CPAN Reporter"
"1994",6,""
"1995",1,"I generally don't care about Windows, but do care about cross-unix."
"1996",3,"No different from cross platform Python programming."
"1997",4,""
"1998",NA,""
"1999",6,""
"2000",NA,""
"2001",7,""
"2002",6,""
"2003",5,""
"2004",NA,""
"2005",6,"That's not important feature for me, my portability requirements are limited by various *NIX platforms"
"2006",6,"Hooray for File::Spec"
"2007",NA,""
"2008",NA,""
"2009",NA,""
"2010",NA,""
"2011",NA,""
"2012",6,"it's a slight pain to (remember to) change the #! line when moving to another system. Sometimes even to find out the correct call"
"2013",NA,""
"2014",5,""
"2015",7,""
"2016",6,"Never run into problems"
"2017",6,""
"2018",NA,""
"2019",7,""
"2020",5,"Would be nice if good Perl/Qt GUI was standardly available. (Maybe this has changed since I last looked.)"
"2021",NA,""
"2022",6,""
"2023",6,""
"2024",7,""
"2025",6,""
"2026",7,""
"2027",NA,""
"2028",NA,""
"2029",6,""
"2030",NA,""
"2031",1,""
"2032",NA,""
"2033",NA,""
"2034",5,""
"2035",NA,""
"2036",7,""
"2037",7,"It's the best tool to do this."
"2038",NA,""
"2039",6,""
"2040",1,""
"2041",6,""
"2042",5,""
"2043",4,"it's almost impossible to install cpan modules on windows.[CR]very hard."
"2044",3,"Always necessary to modify code across platforms."
"2045",4,"Many of the FILE::Spec routines are generally broken at least on Windows and VMS and usually require special OS specific code before and/or after them to fix up the issues.  The most common issue is that these routines will unexpectedly convert a UNIX format input filespec into a native OS file specification that the rest of the Perl program does not know how to deal with.  These routines assume that conversion the from a Native file specification to Unix format is reversible, but it actually is not because of differences in the platforms.  The next most common bug is that they will incorrectly handle absolute and relative file specifications.[CR]It is a mess because a large number of Perl modules are now expecting these routines to behave exactly as they do now, but the way they actually work is not obvious to UNIX programmers who try to use them for portability.[CR]If you do a search of perl code for ""$^O"" tests, you will usually find them near a File::Spec method call or return to fix things up."
"2046",5,"Too much dependency on external OS tools, easily available on Linux, make it difficult to install it on certain platforms like AIX or Windows."
"2047",NA,""
"2048",NA,""
"2049",6,"I prefer to use the system's packaging (RPM, debs) instead of cpan to install dependencies. Easier for us to manage."
"2050",NA,""
"2051",1,""
"2052",NA,""
"2053",1,""
"2054",6,"I seldom need to.  I infrequently need to write programs on a Unix or Unix-like OS."
"2055",1,""
"2056",3,"Mac Os X frequently has problems especially when I try to install PerlMagick (followed by imagemagick).[CR]by the way, we really need a package that will manipulate images to the degree of imagemagick (ie. watermarking. Imager doesn't do that)"
"2057",5,""
"2058",1,""
"2059",5,""
"2060",NA,""
"2061",NA,""
"2062",6,""
"2063",NA,""
"2064",3,"much of what I do is system-dependent and is inherently not very cross-platform at all :-("
"2065",NA,""
"2066",NA,""
"2067",7,""
"2068",7,""
"2069",1,""
"2070",6,""
"2071",1,""
"2072",7,"WinXP and Ubuntu: portability is often full"
"2073",NA,""
"2074",6,"how about a ${^PATH_SEP} perlvar. I don't like File::Spec."
"2075",6,""
"2076",NA,""
"2077",NA,""
"2078",7,""
"2079",4,""
"2080",5,""
"2081",3,"its Windows fault."
"2082",NA,""
"2083",5,"So long as you use modules that are not OS specific (Like the Win ones) you're usually fine.  "
"2084",3,""
"2085",1,""
"2086",6,""
"2087",6,""
"2088",6,""
"2089",NA,""
"2090",6," I don't do it that often."
"2091",5,"I didn't find any problems with Solaris SPARC and X86"
"2092",1,""
"2093",5,""
"2094",1,""
"2095",7,"Just works!"
"2096",NA,""
"2097",7,"I've never had that many issue but the code I write isn't usually more than a few hundred lines... if that."
"2098",4,"I hate windows, so I try not to stress too much about it"
"2099",4,""
"2100",NA,""
"2101",1,""
"2102",NA,""
"2103",NA,""
"2104",NA,""
"2105",5,""
"2106",5,"cross platform introduces new things to take care of... it's natural you can't get everything for free!"
"2107",NA,""
"2108",4,"getting modules that contain XS stuff installed and executable on platforms such as HP-UX or AIX often is a challenge and pretty time consuming (time I often lack for my other chores),[CR]I suppose that is because there aren't that many CPAN testers who use these platforms, but fortunately (thanks to Linux and virtualization) these old irons will soon become extinct..."
"2109",6,""
"2110",NA,""
"2111",3,""
"2112",6,"I have been surprised at how few problems I have had jumping between platforms."
"2113",NA,""
"2114",NA,""
"2115",NA,""
"2116",NA,""
"2117",1,""
"2118",5,""
"2119",5,""
"2120",1,""
"2121",5,"I like the fact that I can get perl everywhere. For my use it is not very important that the same program can be used unmodified everywhere, but that [CR]I can program more or less the same way in different systems. I hardly ever leave unixes or similar OSes, though."
"2122",5,"can't say much, I go from *nix to *nix to *nix, not really that different"
"2123",5,""
"2124",6,""
"2125",6,"Perl does a good job of this"
"2126",7,""
"2127",5,"wxWidgets will help in development of UI of cross platform applications. Webserver stuff is easily portable. And yes, todays servers are all running at virtual machines, so this fact is valuable in talk about portability too."
"2128",1,"Haven't tried it."
"2129",4,""
"2130",1,""
"2131",6,""
"2132",1,""
"2133",NA,""
"2134",NA,""
"2135",6,""
"2136",3,""
"2137",NA,""
"2138",NA,""
"2139",NA,""
"2140",6,""
"2141",3,"it's a big bucket of pain"
"2142",2,"it sucks"
"2143",1,""
"2144",6,""
"2145",NA,""
"2146",7,""
"2147",6,""
"2148",5,"I think the testing culture (and the fact that we do it just before install) is one of Perl's strongest points."
"2149",6,"it's as platform independent as java is - they both call themself that way, but are not"
"2150",NA,""
"2151",3,""
"2152",NA,""
"2153",NA,""
"2154",NA,""
"2155",1,""
"2156",NA,""
"2157",NA,""
"2158",4,""
"2159",NA,""
"2160",5,"depends on the program"
"2161",NA,""
"2162",NA,""
"2163",1,"I don't use others code."
"2164",NA,""
"2165",NA,""
"2166",6,"very good job"
"2167",1,""
"2168",1,"No experience, but based on experience with other dynamic languages, Cygwin vs. Windows path handling is always a pain. Not sure if Perl can actually handle that."
"2169",6,"Math::Pari is terrible."
"2170",NA,""
"2171",6,""
"2172",7,""
"2173",NA,""
"2174",1,""
"2175",1,""
"2176",6,""
"2177",1,""
"2178",7,"easier than anything else I know of"
"2179",6,""
"2180",5,"I never do GUI, just data transform"
"2181",5,""
"2182",NA,""
"2183",4,""
"2184",2,"I have had endless trouble with CPAN on Mac OS X; I literally cannot use the default CPAN client (I use cpanm instead)."
"2185",1,""
"2186",7,""
"2187",NA,""
"2188",NA,""
"2189",NA,""
"2190",7,"as of activeperl - not all is working"
"2191",5,""
"2192",5,""
"2193",6,""
"2194",NA,""
"2195",6,""
"2196",7,""
"2197",NA,""
"2198",NA,""
"2199",1,""
"2200",NA,""
"2201",6,"Generally pretty easy, except when scripts depend on hard coded paths like /tmp/"
"2202",1,""
"2203",1,""
"2204",NA,""
"2205",6,""
"2206",6,""
"2207",6,""
"2208",5,""
"2209",4,""
"2210",NA,""
"2211",NA,""
"2212",1,""
"2213",4,""
"2214",NA,""
"2215",NA,""
"2216",5,""
"2217",NA,""
"2218",5,"Perl programming is more enjoyable in Linux"
"2219",1,"if tests fail I usually don't use the module."
"2220",3,"It works fairly well across all the unix-like operating systems.  I've never tried it on windows."
"2221",1,""
"2222",6,""
"2223",7,""
"2224",7,""
"2225",7,"It's about as simple as pie. Very easy."
"2226",NA,""
"2227",6,""
"2228",5,""
"2229",4,""
"2230",5,"There is still some potential to improve, no doubt."
"2231",6,""
"2232",6,""
"2233",5,""
"2234",NA,""
"2235",NA,""
"2236",1,""
"2237",6,"I develop on a slackware box, then upload to Windows XP/Strawberry Perl when necessary.[CR] "
"2238",NA,""
"2239",6,""
"2240",3,""
"2241",5,""
"2242",3,"Most of my Perl programs run well on both Linux and Solaris, but I have troubles running them on Windows."
"2243",5,"Happy when we can do it at sll"
"2244",6,""
"2245",NA,""
"2246",5,""
"2247",6,""
"2248",4,"Had to support a system that run Oracle Application Server under Windows once. Was a nightmare to install those CPAN modules that required compliation."
"2249",6,""
"2250",6,"I regularly develop on OSX and deploy on Linux. Between these two platforms I've not had an issue in several years."
"2251",NA,""
"2252",1,""
"2253",NA,""
"2254",2,"Fix the file interface on windows so one can access unicode file names!  It's useless."
"2255",5,"Characters in the utf-8 set constantly get messed up, unless I take great care to avoid it."
"2256",NA,""
"2257",NA,""
"2258",NA,""
"2259",NA,""
"2260",NA,""
"2261",4,""
"2262",6,"So far I have been using very ripe packages and language features resp., so it has been a pleasant experience"
"2263",7,"It's so easy I don't even think about it anymore? :-)"
"2264",7,""
"2265",7,"often insane/pain to compile on cygwin/windows, due to missing debian-style apt-get libs workflow (hand-download, tweak the source etc)"
"2266",5,"Easy in theory, not too difficult in practice, just a matter of thinking a bit (exception: GUI and system programming, and native libraries ...)"
"2267",5,"Rarely issues moving between Linux and Unix. Uncommon between Linux and Mac OS X. Have never tried to move big apps from Linux to Windows -- not many problems with short scripts though."
"2268",NA,""
"2269",6,""
"2270",NA,""
"2271",2,""
"2272",NA,""
"2273",5,""
"2274",NA,""
"2275",6,""
"2276",4,""
"2277",NA,""
"2278",5,""
"2279",5,""
"2280",6,""
"2281",5,"It's easier if you plan for it ahead of time. Harder if not."
"2282",5,""
"2283",7,""
"2284",5,""
"2285",NA,""
"2286",1,""
"2287",5,""
"2288",NA,""
"2289",3,"""If tests fail I will try to report a bug through appropriate channels"" - would be good if some URL or contact could be listed in results to make this contact easier."
"2290",4,"It's much easier with tools such as PAR, but these have not been widely adopted."
"2291",1,""
"2292",NA,""
"2293",NA,""
"2294",6,"good"
"2295",6,""
"2296",6,"Windows is the odd one out, Interix via SFU/SUA should be more popular (it provides a real fork on windows)"
"2297",6,"How easy it is really depends on what you're doing, obviously. Basic stuff is pretty simple, but the devil's in the details, so a more complex program can get messy."
"2298",5,""
"2299",5,"no, it works fine cross-platform, that's not one of Perl problems.. it has others."
"2300",NA,""
"2301",1,""
"2302",7,""
"2303",2,""
"2304",1,""
"2305",1,""
"2306",NA,""
"2307",4,"Usually I'm doing system stuff anyway, where I'd expect things to fail."
"2308",NA,""
"2309",NA,""
"2310",NA,""
"2311",6,"Cross platform takes thought and the use of CPAN modules.  Writing your own methods is likely to fail."
"2312",NA,""
"2313",NA,""
"2314",2,""
"2315",6,""
"2316",6,""
"2317",6,""
"2318",6,""
"2319",7,"does not rely too heavily on platform specific tools."
"2320",7,"wery good"
"2321",5,""
"2322",4,""
"2323",5,""
"2324",6,"Cygwin was missing from the list of OSs. But $OSNAME disagrees!"
"2325",6,""
"2326",NA,""
"2327",NA,""
"2328",5,"It has gotten better in the last decade."
"2329",5,""
"2330",7,"If Perl wasn't cross platform, I wouldn't be using it.  It's a very important point."
"2331",1,""
"2332",6,""
"2333",1,""
"2334",6,""
"2335",NA,""
"2336",5,""
"2337",4,""
"2338",NA,""
"2339",NA,""
"2340",NA,""
"2341",1,""
"2342",NA,""
"2343",4,"If a module doesn't work on one platform but does on another, I consider running ActiveState perl to get it running, for whatever reasons it seems their modules run more often than not."
"2344",7,""
"2345",6,"We don't use windows, so interop between GNU/Linux and OS X is fairly straight forward."
"2346",NA,""
"2347",1,"Sometimes I have to install a module on a solaris system with an improperly configured toolchain.  That's not much fun."
"2348",6,""
"2349",5,"Have no experience with it."
"2350",NA,""
"2351",1,""
"2352",NA,""
"2353",6,""
"2354",NA,""
"2355",1,""
"2356",NA,""
"2357",4,"It's getting better!  Graphic toolkits and dependencies on system libraries need to be tested a bit more, though."
"2358",4,""
"2359",6,"Althoug it usually is really easy migrating from *NIX to *NIX, when it fails, it fails terribly hard."
"2360",1,""
"2361",1,""
"2362",6,""
"2363",NA,""
"2364",6,"I generally use OpenBSD and put modules into their ports structure so most modules are tested on the platform by someone else.[CR][CR]It is fairly easy to program in a cross platform way, but you can also run into places where platform dependent things are the correct solution."
"2365",NA,""
"2366",5,"not as good as Java!"
"2367",6,""
"2368",6,"It's a lifesaver"
"2369",4,""
"2370",6,"I build on mac os x and deploy on debian linux and generally have very few problems."
"2371",1,""
"2372",NA,""
"2373",5,""
"2374",7,""
"2375",NA,""
"2376",7,"using a lot of appropriate modules instead of built-in features makes multi-platform easy (e.g. Path::Class)"
"2377",6,""
"2378",6,""
"2379",1,""
"2380",1,"there are systems besides linux?"
"2381",NA,""
"2382",6,"there are a few gotchas... but generally, portability is very good"
"2383",NA,""
"2384",NA,""
"2385",4,""
"2386",1,""
"2387",1,""
"2388",1,""
"2389",NA,""
"2390",6,""
"2391",NA,""
"2392",6,"Perl delivers on the cross-platform ""write once, run anywhere"" claims that Java makes but fails to deliver on."
"2393",1,""
"2394",NA,""
"2395",5,""
"2396",NA,""
"2397",NA,""
"2398",6,""
"2399",NA,""
"2400",5,"not all modules are available"
"2401",1,""
"2402",NA,""
"2403",NA,""
"2404",6,""
"2405",NA,""
"2406",NA,""
"2407",6,""
"2408",NA,""
"2409",7,""
"2410",NA,""
"2411",1,""
"2412",NA,""
"2413",5,"ActivePerl's binary package archive sucks.  I had far better luck just installing Visual C++ Express Edition and building everything myself with CPAN.pm."
"2414",NA,""
"2415",6,""
"2416",6,""
"2417",3,"/me bangs head on table"
"2418",6,""
"2419",NA,""
"2420",6,"There's been a few cases I would have loved to work with some CPAN threading modules but couldn't because their was no win32 equivalent. But in general, it more or less just ""works""."
"2421",4,"mostly with windows, lack of portability, permissions."
"2422",7,"I never try windows."
"2423",NA,""
"2424",1,""
"2425",7,""
"2426",NA,""
"2427",NA,""
"2428",5,"It is really hard to program Perl on Windows, mostly because of the intricate details of building DLLs that work properly, but also because so many CPAN authors neglect Windows as a viable platform for anything and don't care if their modules work on it or not."
"2429",5,""
"2430",6,"It's one of the strongest features of Perl."
"2431",NA,""
"2432",6,""
"2433",5,"hope adam kennedy will able to build his cpan tester based on PITA."
"2434",7,""
"2435",5,""
"2436",NA,""
"2437",7,""
"2438",6,""
"2439",NA,""
"2440",1,""
"2441",7,"My biggest frustration is installing the required modules on each machine, but I know there are tools and such out there to make that easier, I just haven't used them."
"2442",7,"I run my code on Linux and Windows"
"2443",NA,""
"2444",NA,""
"2445",5,"Cross-unixen is 100% easy, unix-windows requires some attention to detail"
"2446",NA,""
"2447",6,""
"2448",1,""
"2449",NA,""
"2450",NA,""
"2451",NA,""
"2452",NA,""
"2453",7,""
"2454",5,""
"2455",1,""
"2456",NA,""
"2457",6,""
"2458",5,"Some packages require external libraries that don't perform the same under each platform, e.g. threading/multiplexing/etc... libraries"
"2459",1,""
"2460",1,""
"2461",3,""
"2462",6,""
"2463",6,"In my company I have found no problems in writing cross-platform Perl.  The only problems I have had are with dissimilar environments which do not have the same modules or versions of Perl what can accommodate the same modules."
"2464",NA,""
"2465",6,"Provided you do a little homework on the platforms you deploy to, cross-platform programming isn't that diffucult in Perl."
"2466",3,""
"2467",NA,""
"2468",NA,""
"2469",NA,""
"2470",4,""
"2471",NA,""
"2472",NA,""
"2473",NA,""
"2474",NA,""
"2475",6,""
"2476",1,""
"2477",6,""
"2478",NA,""
"2479",1,""
"2480",NA,""
"2481",6,""
"2482",5,"Windows sucks! even BeOS is better than Windows, I supposed that that is MS. problem and not perl :)"
"2483",4,"Pathing is a pain in the A** between *nix and Win."
"2484",4,"Sometimes simple but installation can be wonky."
"2485",1,""
"2486",6,"no problems exept handling with office-documents via perl"
"2487",1,"Never tried it, wouldn't dare to."
"2488",4,""
"2489",NA,""
"2490",NA,""
"2491",NA,""
"2492",5,"File::Spec makes it a lot easier, but it's no just copy over and run for most things.[CR][CR]Lack of pre-compiled binary bundles and differing module systems (base CPAN vs. PPM) and the lack of a portable way to bring those dependencies with a program hurts even moving to another machine of the same platform let alone a different one."
"2493",7,""
"2494",NA,""
"2495",6,"Works pretty well cross *nix, haven't tried in with Windows or MAC.[CR]"
"2496",5,"fine, don't use it much"
"2497",NA,""
"2498",NA,""
"2499",5,""
"2500",5,"try not to use platform-specific modules"
"2501",5,""
"2502",NA,""
"2503",5,""
"2504",3,""
"2505",NA,""
"2506",NA,""
"2507",NA,""
"2508",NA,""
"2509",4,"wibble"
"2510",5,""
"2511",1,""
"2512",6,"Years ago, this was a pain with Windows. No recent experience."
"2513",1,""
"2514",1,""
"2515",6,""
"2516",7,""
"2517",NA,""
"2518",1,""
"2519",1,""
"2520",1,""
"2521",NA,""
"2522",5,""
"2523",NA,""
"2524",1,""
"2525",5,""
"2526",NA,""
"2527",NA,""
"2528",5,""
"2529",6,"The major problem is that the expected behavior differs between platform; eg. do we need/want a GUI?"
"2530",5,""
"2531",4,""
"2532",5,""
"2533",6,""
"2534",6,"dependence on external binary libraries make portability difficult in some cases, but pure perl code is most likely to run smooth on any platform"
"2535",1,""
"2536",NA,""
"2537",NA,""
"2538",5,""
"2539",NA,""
"2540",NA,""
"2541",5,""
"2542",1,""
"2543",4,""
"2544",4,"Windows is arse."
"2545",NA,""
"2546",1,""
"2547",NA,""
"2548",5,""
"2549",1,""
"2550",6,"Requires experience like knowing the right modules, but works fine.[CR]"
"2551",NA,""
"2552",5,""
"2553",2,""
"2554",3,""
"2555",2,"i've had terrible experiences with GUI part. since i needed that on windows it was easier to ditch windows."
"2556",NA,""
"2557",NA,""
"2558",NA,""
"2559",NA,""
"2560",4,""
"2561",1,""
"2562",6,""
"2563",5,""
"2564",5,""
"2565",4,"Just because you can, doesn't mean you should! =)"
"2566",6,""
"2567",5,"windows is hardest to port to"
"2568",6,""
"2569",1,"In my current line of work as in house system developer anything but Linux is completely irrelevant."
"2570",7,"I think Strawberry Perl is a great tool for Windows programmers (and Perl programmers in general)."
"2571",6,"Installation sometimes fails."
"2572",NA,""
"2573",1,""
"2574",6,""
"2575",6,""
"2576",6,"I use Linux in 99.9% time and Perl in Linux JustWorks(tm)."
"2577",5,"We in the Windows perl dev world are the red headed step children, but as I am told many times this is just one more reason to switch to linux."
"2578",6,""
"2579",NA,""
"2580",NA,""
"2581",4,"I can say that I don't consider Perl a real portable solution (unfortunately) because I do the development under Windows and use the programs in production under Linux and I often have problems with some modules that can't run under Windows so I can't test them, or modules that can be installed harder under differnt operating systems."
"2582",NA,""
"2583",2,"Perl would do well to have an Application::Build tool like Module::Build where you can install things easily in a cross-platform manner."
"2584",6,""
"2585",4,""
"2586",6,""
"2587",4,""
"2588",1,""
"2589",5,""
"2590",NA,""
"2591",NA,""
"2592",6,""
"2593",NA,""
"2594",NA,""
"2595",1,"Nope"
"2596",NA,""
"2597",NA,""
"2598",4,""
"2599",NA,""
"2600",5,""
"2601",NA,""
"2602",NA,""
"2603",NA,""
"2604",NA,""
"2605",NA,""
"2606",NA,""
"2607",1,""
"2608",6,"Works surprisingly well."
"2609",6,""
"2610",6,"I think PAR is really helpful in such cases."
"2611",NA,""
"2612",1,""
"2613",1,""
"2614",3,"easy if you stick to well known modules, but you have have to be carefull when using new modules."
"2615",4,""
"2616",1,""
"2617",7,""
"2618",1,""
"2619",NA,""
"2620",5,""
"2621",NA,""
"2622",6,""
"2623",5,""
"2624",7,"It mostly just works.  File::Spec->join() should probably have syntactic sugar."
"2625",3,"I have never tried."
"2626",6,""
"2627",4,""
"2628",1,""
"2629",6,""
"2630",5,""
"2631",7,""
"2632",NA,""
"2633",NA,""
"2634",5,""
"2635",4,""
"2636",5,"It is wonderful, but sometimes certain CPAN modules are not compatible even though they should be."
"2637",NA,""
"2638",NA,""
"2639",4,""
"2640",NA,""
"2641",4,"It depends on what you're doing"
"2642",1,""
"2643",6,""
"2644",NA,""
"2645",3,"Strawberry Perl has been a huge blessing, but the inability to sensibly package an application *and* the dependencies is a huge downfall of Perl.[CR][CR]PAR and FatPacker are cute, but not really sufficient, to address this."
"2646",5,"It's pretty easy with ActiveState, and almost impossible otherwise."
"2647",NA,""
"2648",5,""
"2649",6,""
"2650",6,""
"2651",6,""
"2652",5,"Most of the issue is getting certain modules to compile on different platforms."
"2653",NA,""
"2654",NA,""
"2655",6,""
"2656",NA,""
"2657",NA,""
"2658",1,""
"2659",NA,""
"2660",5,""
"2661",7,""
"2662",6,""
"2663",NA,""
"2664",6,""
"2665",NA,""
"2666",1,""
"2667",NA,""
"2668",1,"Tie my kangaroo down"
"2669",5,""
"2670",NA,""
"2671",4,""
"2672",1,""
"2673",1,""
"2674",5,"It hurts less than C."
"2675",NA,""
"2676",NA,""
"2677",1,""
"2678",NA,""
"2679",5,""
"2680",1,""
"2681",NA,""
"2682",NA,"Good to have the cpan, installation will be seamless as well."
"2683",NA,""
"2684",NA,""
"2685",6,""
"2686",NA,""
"2687",6,""
"2688",7,""
"2689",6,"It works well."
"2690",5,"Different platforms have different large integers..."
"2691",6,"I have fairly basic needs, but I have never had any problems running perl cross-platform."
"2692",NA,""
"2693",4,""
"2694",1,""
"2695",6,""
"2696",6,""
"2697",2,""
"2698",6,"Works good except on Windows."
"2699",2,""
"2700",5,"surprisingly easy (even compiled perl)"
"2701",7,"All of my programming is cross platform (on Unix-like platforms) so this ability is important to me."
"2702",1,""
"2703",2,"It is still quite hard to migrate Perl projects written in Linux to Windows, as it is not so easy to compile the Packages.pm and things tend to break in weird ways. (At least in my experience)"
"2704",5,""
"2705",1,""
"2706",NA,""
"2707",5,""
"2708",NA,""
"2709",3,""
"2710",5,""
"2711",NA,""
"2712",3,""
"2713",NA,""
"2714",6,""
"2715",3,""
"2716",5,""
"2717",6,""
"2718",NA,""
"2719",6,"best i have used (at least better than java :p)"
"2720",6,""
"2721",NA,""
"2722",1,""
"2723",4,""
"2724",4,""
"2725",NA,""
"2726",4,""
"2727",1,""
"2728",NA,""
"2729",5,""
"2730",5,""
"2731",6,"Every CPAN test that has failed for me has done so because the programmer made platform assumptions.  Too often, programmers are not interested in hearing about platforms they do not use.  This tends to discourage bug reports."
"2732",6,""
"2733",NA,""
"2734",NA,""
"2735",3,""
"2736",7,""
"2737",2,"Nearly everything I try to write depends upon at least one module that won't work on Windows. The fact isn't too surprising, as Windows is a profoundly developer-hostile platform, but it *is* a pain."
"2738",4,"only if perl embedded to an crossplatform application."
