"","perl_best_thing","perl_frustrates_most","describe_perl"
"1913","The most reliable language when it comes to batch jobs.","keeping track of references",""
"1914","Highly expressive syntax","Bolted on object-oriented programming features","could have been a contender"
"1915","","",""
"1916","","",""
"1917","","",""
"1918","","",""
"1919","","",""
"1920","","",""
"1921","","",""
"1922","CPAN.","CPAN","community programming at its best"
"1923","Laziness, Impatience and Hubris","Perl 6","there's more than one way "
"1924","","",""
"1925","","",""
"1926","","",""
"1927","Very easy to throw together simple text-fiddling programs.","References.","infuriatingly powerful"
"1928","","",""
"1929","scalable, easy reuse, CPAN bib"," upgrade module CPAN","the best way for sysadmin or netadmin"
"1930","CPAN","Unicode handling. Maybe not Perl's fault, but I still spend way too much time tracking down unicode problems, especially as 99% of the time all my data is in UTF8.","15 years later, I still love it "
"1931","it makes my job (unix admin) easier. Lots of text manipulation, one liners, quick to get things done.","There are sometimes too many ways to do it (can be confusing when trying to remember something I rarely do).","powerful compact terse cryptic fun"
"1932","","",""
"1933","Development speed and extensibility.","Reading other peoples' code.","Fast, flexible, exensible, powerful"
"1934","","",""
"1935","","1) Lack of standard object system.[CR][CR]2) The trend towards DeclareX style stuff that messes with obvious syntax.",""
"1936","CPAN","Needs Moose to have a decent object model, needs parameter unpacking, like assembler","terse productivity"
"1937","it doesnt have the overhead of writing C/C++, but it is still a very well written language that extends the functionality of any computer it runs on.","CPAN, mostly just bad code on CPAN","Awesome language, great toolbox"
"1938"," powerful on regular expression  ","","simple and robust "
"1939","the freedom to code as good as it is ever possible","the strong single tasking (== complete fail to make it truly multithreaded)","freedom beauty power"
"1940","","",""
"1941","Its flexibility and ease of producing quick solutions.","Autovivification in reading $a{$b}[$c].  There is no reason for $a{$b} to spring into existence![CR]Module overkill: why can't localtime optionally return real year and month, or int return the address of a ref?","Perl is unix on steroids."
"1942","it powerful and flexible","CGI is only easy data entry forms generator; wish TK were wrappered in easier form manager like I heard (?) TCL is.  Also, module support for DBD-mysql, DBD-oracle, Net-LDAP, and lots other spotty and shoddy with ActiveState!","power and depth technical wellspring"
"1943","","",""
"1944","","",""
"1945","","",""
"1946","rapid programming","debugging",""
"1947","","",""
"1948","Built-in regex","Incomprehensible syntax (sigils, default vars...)","A powerful language for expert use"
"1949","The community","It's so widely used in bioengineering/medicine and so few biologists know Perl. There's a culture divide that the Perl Community must conquer to blow the door wide open for Perl programmers and fuel the firestorm of the next medical revolution. ","Perl is my Mjolnir"
"1950","","",""
"1951","Flexibility. You can use OOP and functional programming, CPAN is great, too","Can be hard to read","powerful programming language"
"1952","","",""
"1953","CPAN.","The language is designed to encourage ambiguity","big complex flexible pathologically eclectic"
"1954","you can write compact, readable code","I don't know, maybe the punctuation variables",""
"1955","It's very easy to write code that manipulates complex data structures in complex ways using references and nested data structures.","Parameter unpacking in subroutines. Lack of mass-commenting.","easy to learn programming language"
"1956","","OO","extreme fast stable programming"
"1957","","",""
"1958","CPAN","TIMTOWTDI","Perl is alive."
"1959","","",""
"1960","","",""
"1961","Community, Unix spirit, The lovely camel and everything else.","None","fast and fun to play with it"
"1962","concise, fast results","no compile-time check for OO-method calls","open multi-platform rapid flexible sysadmin"
"1963","Web application","","fast scalable "
"1964","","",""
"1965","CPAN","No real OOP in Perl5. Unicode handling difficult.",""
"1966","everything","constantly postponed release of perl6","elegant fast stable multipurpose"
"1967","","",""
"1968","","",""
"1969","CPAN","",""
"1970","","",""
"1971","weak typing, fewer rigid rules than other languages, and ways to get around the rules if I really need to to get my work done--the designers of Perl trust me to make my own decisions and to know what I am doing. I use Perl for building real general artificial intelligence, and it is perfectly suited to this research. I think this is primarily because a lot of decisions have to be made at a philosophical level, which language designers probably aren't equipped to make in advance.","there are so few people who see how wonderful it is, so that it is difficult to find paid projects to do in Perl.","perfect for real AI"
"1972","RegExp","Ugly Syntax","mighty write-only fire-and-forget"
"1973","Flexibility","Until recently development of the language has been slow",""
"1974","How easily it lets me convert thoughts to code. Moose. Roles. The new guise of AttributeHelpers. It's so clean (post-Moose). Perltidy, NYTProf, perl::critic. Perl6.","MooseX::Declare is not blazingly fast, and there is no fast way to have perl6 signatures on subs. Hopefully, Perl 6 will soon be stable enough for my needs.","Beautiful. Mind blowing. Exquisite."
"1975","","",""
"1976","CPAN","Lack of a polished REPL","not hyped, but still strong"
"1977","","",""
"1978","Is more intuitive than other languages; it's the only language where sometimes things work on the first try.","?","still has the juice"
"1979","The conciseness and lack of boilerplate.  The flexibility in how to structure your code how /you/ want it; the way it helps you to understand programming concepts by forcing you to build them yourself (e.g. perl5 OO).","The flexibility - that it's too easy for people to write bad code.  The lack of guarantee of longevity of some of the CPAN frameworks - you have no way of knowing which of the N web frameworks are going to be around in a year, or which are going to be discarded and abandoned.","Flexible linguistic powerful anarchic dangerous"
"1980","","",""
"1981","concise syntax","subroutine parameter passing and lack of type constraints","duct tape for the web"
"1982","","",""
"1983","There is almost nothing it can't do.","Backwards compatibility from Perl 5.12 to Perl 1.","Practical, powerful, and pervasive programming."
"1984","","",""
"1985","it covers all about computer","switch case","it was the language i startet with"
"1986","CPAN, the availability of numerous ready-made solutions. ","The amount of work it takes to keep Perl running.","the sharpest tool in the toolbox"
"1987","Expressiveness, flexibility","Looks messy","Deep, chaotic, powerful"
"1988","it's fun","spaghetti happens","gets the job done"
"1989","CPAN modules","can be slow","good for short once use scripts"
"1990","one can achieve much with just a few lines of code. powerful regular expressions. many additional modules.","a bit difficult to understand if not commented on time (even for the programmer after lets say 5 years :) )","Powerful"
"1991","integration of regular expressions, closures, handling of arrays and hashes, contexts of variables, CPAN","frustrating ide-integration typically for dynamic languages","complex, sometimes ugly"
"1992","","",""
"1993","CPAN, its portability and the community","More people use python or ruby these days.[CR]Perl 5.12 isn't part of any major linux distribution yet[CR]Windows support is not that good, because some important modules aren't easy to compile[CR]CPAN doesn't work together very well with package manager/BSD ports","Perl is the jack of all trades"
"1994","","don't have a application server, where the application live all time,like Jboss",""
"1995","it's use of natural-language principals and leveraging of our natural-language processing.","perl5, now that I've studied perl6.","The only other worthwhile language"
"1996","Brevity. Regular Expressions.","Impenetrable syntax, overreliance on variable references, list unpacking.","Powerful but difficult to learn."
"1997","i know it best","",""
"1998","","",""
"1999","backwards compatibility","","A useful tool for working with any kind of data."
"2000","","",""
"2001","How flexible and adaptable the language is.","How flexible and adaptable the language is.","flexible adaptable powerful"
"2002","The community is friendly, supportive and encourages creativity.","There aren't more visual artists aware of and/or involved in Perl who I can look to for support.","open, creative, fun, freedom, empowering"
"2003","Fast development.","Too much modules.","Perl is a mixture of art and power."
"2004","","",""
"2005","CPAN, community, and it is a good language","bugwards compatibility","cpan fast reliable"
"2006","CPAN, and the standards CPAN encourages for installing and documenting modules","It is easy for inexperienced or undisciplined programmers to create inefficient, unmaintainable programs.","swiss-army chainsaw"
"2007","","",""
"2008","","",""
"2009","","",""
"2010","","",""
"2011","","",""
"2012","flexibility, avaiability, modularity","noone around me uses it, perl 6 won't be avaiable in my lifetime","practical efficient reliabel lightweight"
"2013","","",""
"2014","its easy to find help online or within my company.","there are too many ways to do most tasks and it seems like it's all preference. I would like to see more information on best practices.","perfect multipurpose language"
"2015","","",""
"2016","Lots of modules","Syntax freedom result in errors, community decreasing, there are other cleaner languages","Syntax Freedom at cost of higher maintenance"
"2017","that it's a dynamic language with an enormous library of available modules.","the horrible syntactic corner cases.","dynamic, messily designed, dated"
"2018","","",""
"2019","","",""
"2020","Perl 6 :-)[CR]Perl 5.12: General utility, availability, flexibility. Extremely useful for ""conceptually simple"" tasks that can be done with Perl regular expressions, map(), grep(), and hashes.[CR]","Almost everything that Perl 6 fixes. :-)[CR]Klunky OO (with non-standard notation), great-but-klunky regexes, non-invariant sigils, not making my-vars default, lack of Visual Studio quality IDE.","Swiss army knife machine shop."
"2021","","",""
"2022","","",""
"2023","CPAN, functional constructs like map and grep; list and hash handling; regexp","none","provides an extensive third party library of code"
"2024","The attitude.[CR]The modesty of the design respect programmers enough to let them think for themselves.[CR]CPAN!","Lack of an interactive shell.[CR]Object Orientation.",""
"2025","","",""
"2026","Speed, Regex, ","Not a good IDE's available like 4 Java, no usable examples in documentation","Perl is e good language for web"
"2027","","",""
"2028","","",""
"2029","","",""
"2030","","",""
"2031","","",""
"2032","","",""
"2033","","",""
"2034","The community support","The yaks you have to shave to learn it",""
"2035","","",""
"2036","Keeps simple things simple, while making hard things possible.","Too many ways to do things lets inexperienced programmers fill our working code with garbage.",""
"2037","flexibility","","swiss army pocket factory"
"2038","","",""
"2039","It's easy to write little programs quickly in it.","Its support for object-oriented programming is a disaster.","Like no other programming language"
"2040","Autovivification","sloppy OO","rapid development"
"2041","rapid development","",""
"2042","Flexibility","The too many ways of doing the same thing. The lack of structured repository, CPAN is messy.","flexible versatile rich gtd"
"2043","easy, clean.[CR]have a lot of modules to solve.","","easy, fast, clean, stable."
"2044","The plethora of modules and the ease of integrating with external functionalities.","Some features are implemented in a unintuitive fashion.","I like Perl"
"2045","Generally cross platform.","Perl code that is hard coded to be on a *NIX system.","Possibly the most portable language"
"2046","CPAN","The Perl5 interpreter evolution is stalled due to the Perl6 barrier. ","the one and only tool you'll ever need"
"2047","","",""
"2048","","",""
"2049","very powerful","object-orientation doesn't feel right (too much boilerplate)","tight powerful cpan integrated expressive"
"2050","","",""
"2051","CPAN, definitely CPAN.","People who use other programming languages have very little idea what exists in Perl in terms of frameworks, libraries, ...","Perl rules!"
"2052","","",""
"2053","DWIM","the marketing of the language (people find it not cool anymore), threads, debugger repl",""
"2054","Ease and speed of development.  It's also considerably less verbose than VB, even though I avoid code that is too terse and clever to be easily debugged and maintained.","Inability to create a standalone executable without using something like PAR.pm or proprietary tools.  Lack of an easy way to write a GUI. (Tk, yecch.)","Perl helps me get my work done."
"2055","","",""
"2056","it runs regexp really fast[CR]-it has many good packages ready to roll[CR]-it has a good base of people who maintain and support its packages and core[CR]-it is the best tool for data migrations in terms of readability, speed and maintenance.","-lack of a decent framework that allows for RAD (in comparison with Ruby on Rails). Yes I have used catalyst for a heavy project and it was just not smooth[CR]-the market is abandoning perl for something else such as Java (grief). Telecommunications companies used to use perl from provisioning right up to their radius and charging mechanisms are now swapping over (ie. Pacific Internet, Netspace and so forth)[CR]-people see perl as a dying breed and it is very depressing","the swiss army knife"
"2057","","",""
"2058","","",""
"2059","","",""
"2060","","",""
"2061","","",""
"2062","the flexibility of the perl interpreter.","inane FUD about perl development.",""
"2063","","",""
"2064","it has everything","too many gotchas","if you need it, you know who you are"
"2065","","",""
"2066","","",""
"2067","","",""
"2068","memory mangement","syntax","good administration scripting tool"
"2069","I can code the way I think","sometimes, what I think perl means isn't what it actually does... (esp for refs)","flexible text-friendly malleable stubborn interest"
"2070","The ability to create powerful text manipulation programs quickly.","Sometimes there is a bit of trial and error trying to get complex data structures to work.  It still takes me a while to get the correct syntax when modeling a HASH to an ARRAY.","THE Programmers Everyday Required Langauge"
"2071","Flexability","it's cryptic","Elegant"
"2072","community integration and contacts (i.e CPAN, lists, professionals other repositories)[CR]","modules often not working properly","easy concise open"
"2073","","",""
"2074","DWIM.[CR]multiparadigm, small oneline to big application usage.[CR]CPAN.[CR]Community.","Standard distribution doesn't contain Config::*, DBI / XML modules. Freq. used pseudo built-ins (e.g. min max apply sum) have to be explicitly ""used"" via List::Utils. perl5 OO System is not 1st class it gets cool only after Moose is installed.","most powerful weapon to get the job done"
"2075","obfuscation","obfuscation","Document your code..."
"2076","","",""
"2077","","",""
"2078","Clean syntax, Excellent Object Orientation, memory management and strong community","Ability to not interface well with Java","Excellent programming language"
"2079","PCRE","OO System",""
"2080","","",""
"2081","Implied operator","finding how to do the magic is rather difficult.",""
"2082","","",""
"2083","CPAN modules.  You can find a module for just about anything you need.","CPAN modules.  Sometimes it's hard to sort out the cruft from the good stuff until you've already devoted a decent chunk of time to things.","Not considered a real language"
"2084","open source and multi-platform","The bugs!","fast, small, shallow"
"2085","Its flexibility, CPAN","the difficulty to read code written by others due to the many ways to do the same thing, implicit variables, etc.",""
"2086","perl","extremely difficult to get bugfixes into perl","just another wonderful tool"
"2087","The community","perl 6. It should be called something else so as to limit the bad PR perl 5 gets because it has not/will not get released","less typing than java"
"2088","Its expressiveness ‰€” the ability to write code which closely models the business logic being implemented.","The perception that Cpan modules are hard to install.","flexible & expressive, with myriad modules"
"2089","","",""
"2090","Easy to prototype usable applications","Lack of subroutine signatures.","simple, useful, eclectic, powerful, challenging"
"2091","it's easy to use","too few people knows about it","perl can do it all"
"2092","the whipuptitude and text-parsing capabilities.","The @_ array for passing subroutine arguments (minor though, mostly aesthetic)","Easy thing are easy, complex stuff possible."
"2093","many possibilities, and very flexible","self restriction is needed to write good code","good language"
"2094","cpan","the perception that it's old and out-dated","my favourite programming language"
"2095","CPAN!","Module Dependencies.","Ducktape Frameworkhappy Cool Fun Test Driven"
"2096","","",""
"2097","It is extremely easy to write write readable minimalistic code. Data conversion is also pretty easy to do in Perl.","Nothing really. It works nicely for all of the projects that I use it for.",""
"2098","CPAN!","Need more modern documentation; the modern perl blog is great, but some of us are playing catch up on the test revolution etc, and would love some more info other than just code diving around.","when you want stuff done"
"2099","friendly to problem solving","OO interface","best tool to solve problems"
"2100","","",""
"2101","use strict; use warnings;","Messy data structure access syntax.",""
"2102","","",""
"2103","","",""
"2104","","",""
"2105","","",""
"2106","community","the people outside the community: the image they have of Perl","language for clever people"
"2107","","",""
"2108","1. CPAN, 2. CPAN, 3. CPAN[CR]4.-n. TIMTOWTDI, liberal rule set, !python, idiomatic, baroque style, eclecticism, expressiveness, elegance, terseness (up to obfuscation aka line noise), practicality, ingeniousness, rapid development and prototyping, quick hackishness, worldwide most amiable community with intriguing intelligent individuals, high profile and highly entertaining conferences and events with top notch developers and speakers, ..., and far too many other things to mention","its utterly bad reputation and standing in the public view as well as among non-perl developers, prejudice of not being a ""real"" (serious) programming language that is suited to write readable, maintainable code, little coverage in trade publications, assumed dead and defunct","hands-on, highly modular, idiomatic, liberal, CPAN"
"2109","","",""
"2110","","",""
"2111","TIMTOWTDI","TIMTOWTDI",""
"2112","regular expressions","Everybody else's attitude about it.","Fast, flexible."
"2113","","",""
"2114","","",""
"2115","","",""
"2116","","",""
"2117","There is a lot of ways to do things","Not really object oriented","Perl is hacker's best friend"
"2118","CPAN","Gibberish",""
"2119","","",""
"2120","","","awesome"
"2121","expressiveness, ubiquity/portability","my memory. I use it too little to remember all I'd like. Also autocompletion (but I really haven't looked for it in IDEs or editors, I guess it is harder to achieve than for less expressive languages and I wouldn't tradeexpressiveness for autocompletion but might use whatever may be got). ","swiss army knive, almost lisp."
"2122","The ability for the expert to be as elegant as they want, and not constrained by syntax and boilerplate ugliness.","How easy it is for the beginner to write horrific unmaintainable code.  And most beginning perl books and tutorials treat the language as an advanced version of bash scripting. ","for hackers by hackers"
"2123","","",""
"2124","cpan","framework","powerfull"
"2125","CPAN and that code lasts a long time","packaging applications for windows","perl has enabled me to do my job"
"2126","CPAN","CPAN","Stealing ideas from everywhere"
"2127","Catalyst","Perl6","it's nice programming language"
"2128","we already know it.","remembering all the little bits of syntax.","universal, CPAN, flexible, mature"
"2129","low development cycle overhead (edit->test result)","lack of features like syntactical try/catch","Perl is adequate"
"2130","","",""
"2131","CPAN","system() and related commands sometimes return exit value of shell, sometimes of target process","wicked"
"2132","Community/CPAN","",""
"2133","","",""
"2134","","",""
"2135","perlmonks :)","Cpan modules reinstallation after upgrade.","laziness impatience hubris"
"2136","I know it!","Can't do native windows applications easily.",""
"2137","","",""
"2138","","",""
"2139","","",""
"2140","CPAN","CPAN","Simple, complex, powerfull."
"2141","all the good stuff on cpan; the perl 6 language definition","all the crap stuff on cpan; waiting for the perl 6 implementation to mature","almost as good as ruby"
"2142","","",""
"2143","Flexible, doesn't get in the way, gives me the tools I need to get things done quickly","Reputation in the industry",""
"2144","It gives me the flexibility to do a quick hack to make something work, but also allows me to write proper solutions.","My coworker who writes code to save memory all the time, which usually means it is damn hard to read.","fast flexible "
"2145","","",""
"2146","flexibility","syntax",""
"2147","","",""
"2148","The community.","The difficulty of deploying Perl software.","testable, inclusive, trustworthy, useful"
"2149","the POD documentation of each module, especially the section SYNOPSIS, whic provides an example of the code use.","platform independent GUI programming including SDL & OpenGL bindings (as far as they are platform independent)","1337,TIMTOWTDI, rocks"
"2150","","",""
"2151","The user community","uncertainty about the future with perl 6","dynamic lisp-like intuitive "
"2152","","",""
"2153","","",""
"2154","","",""
"2155","Regular expression support.  Its ease and power is one of the most significant things to happen to programming languages in the past 15 years.","Perl6 has done more to destroy perl than anything else.  It makes all current perl development seem like a dead-end (depressing management support of perl), as well as decreasing interest in upgrading from older versions (5.0005, 5.8).  A different name would have helped.  It could still even help now.","Best tool for telling computers what to do."
"2156","","",""
"2157","","",""
"2158","It works.","Syntax is weird.","Ruby is Perl 7"
"2159","","",""
"2160","TMTOWTDI","none",""
"2161","","",""
"2162","","",""
"2163","It makes easy stuff easy and hard stuff possible","Inability to natively create executables for windows enviroments",""
"2164","","",""
"2165","","",""
"2166","CPAN[CR]operating system ports[CR]BSD, MacOSX, Linux native install","","system administrator language easy to use "
"2167","","suidperl is missing in latest release","easy nice quick"
"2168","It is almost universal. Powerful for certain application areas (e.g. Linux system administration, build systems).","Incoherency, inelegant, weirdness, too much implicit functionality for occasional usage, sigils.","Incoherent but useful"
"2169","vibrant community","community that is absolutely retarded in affairs concerning publicly facing aspects.","brilliant language for robust productions"
"2170","","",""
"2171","Mad Science","Mad Science?","Fun way to get the job done."
"2172","stability compared to other languages","slow development","regexp easy bioperl text search"
"2173","","",""
"2174","","",""
"2175","flexibility and cpan ","complex syntax",""
"2176","CPAN","Larry made the design up as he went along",""
"2177","CPAN","","powerful, easy to write language"
"2178","it is easy to express what I want to do with it","slow development of version 6...I was at OSCON when it was annonced in (I think) 2000 with a rough alpha predicted in a year or so","flexible, fun, terse, CPAN, favorite"
"2179","Flexibility, CPAN modules","The fact that it lends itself to writing really bad code really easily (but as a strength, that bad code does work!).","Ugly Awesomeness."
"2180","","",""
"2181","The CPAN","I think if I were coming to Perl from another language today, I could probably list 100 frustrating things. But over the years I've come to accept so many of Perl's quirks that not much bothers me.","useful ubiquitous surprising efficient quirky"
"2182","","",""
"2183","","",""
"2184","its ubiquity","its insistence upon irregular and inconsistent forms (e.g. contexts, the comma operator, the '#' symbol, etc.)","""Better Than Nothing"" Isn't Good"
"2185","","",""
"2186","TIMTOWTDI","Poor HTTP server module features and configuration","use perl;"
"2187","","",""
"2188","","",""
"2189","","",""
"2190","it is flexibel, has many intregation points","Module installation is not always straight forward - tiresome. A graphical standard debugger would be fine","Short automatic processing helping hand"
"2191","easy to get a program working","lack of standard oo features","get something working quickly"
"2192","it's easy to code, good for text processing, and interaction with the operating system, with extensions to help you use and integrate many different technologies and applications.","lack of OO grammar (Perl 5)","versatile and comprehensive"
"2193","its adaptability for almost all problem domains.","the 10+ year development cycle of Perl 6.","still one of the best programming languages"
"2194","","",""
"2195","There is more than one way to do it.","Periodic community dogmas.","Syntax heavy flexible dynamic language."
"2196","Versatility[CR]Rapid Deployment[CR]Freedom","Other Developers With Bad Coding Style[CR]People Not Using PBP","The Glue of the Electronic Universe"
"2197","","",""
"2198","","",""
"2199","Excellent ""Go To"" language","The CPAN.  The company I work for does not allow me to use software located on the CPAN, due to audit restrictions on untested and unverified open source software (which they have categorised modules in the CPAN).  I know that it could and would vastly increase the size of each perl distribution, but it would be nice to see more modules included.","An Excellent Go To Language."
"2200","","",""
"2201","Ease of development. Fast to write code.","Perl is hidden. It seems that we talk with programmers who are excited about developing something in X (e.g. Rails) and when you ask about Perl they do more Perl than anything else, but it is just every day stuff. Why does it not get the same excitement or acceptance. Companies will say they use Python, but I go in there and they use more Perl, and they don't say it anywhere. It is like it is backwards to say you use Perl?","Last language you need learn"
"2202","RegExp","to often it is ""WriteOnly""","no one has shorter code"
"2203","Fast prototyping","Quirkiness",""
"2204","","",""
"2205","","",""
"2206","A good tool for making my work. Better than c# and co.","Realise Perl6",""
"2207","The language power and it's great community. Everything you might need can be found at CPAN.","it's difficult to find good programmers in Brazil. There are very few young programmers learning Perl. Our developers are getting older.",""
"2208","","",""
"2209","cpan modules[CR]quick to work with[CR]make easy tasks easy and complex ones doable","OO","easy quick versatile bitstrange quickanddirty"
"2210","","",""
"2211","","",""
"2212","Its awesomeness. If forced I'd say regexes.","OO","powerful, satisfying, unixy"
"2213","The big amount of modules available.","Maintaining poorly documented code written by others","cpan object "
"2214","","",""
"2215","","",""
"2216","CPAN","version 6.","A tough habit to break."
"2217","","",""
"2218","The things that make it unique - the ease of converting data types, the little signals that tell you what kind of data type ($@%*) and the indicator for calling a hand-coded function(&), the special built-ins, the ease with which it can access all other programs,etc.","The way other people code in it (allows bad programming standards) and the way the self proclaimed Perl experts want to make it look more like other languages, ruining the best features because they believe that the best language is the most obfuscated language.","does it all"
"2219","very transparent, reliable, easy to get something done quickly","perl *culture* seems to favor hard to maintain solutions","transparent, fast, reliable, flexible, open"
"2220","You can get things done very quickly.","The garbage collector is a pure reference counter with no cycle detection.  The syntax can at times be extremely ugly.  Quality of CPAN modules is extremely variable.","TMTOWTDI"
"2221","flexibility","flexibility",""
"2222","","",""
"2223","CPAN","People who still use indirect object notation because it reminds them of other languages.","No programming without Perl"
"2224","how quickly one can hammer out a script to perform a one-off function -- saved me tons of time in the past.","It's lack of PHP-like integration in Apache (outside of ModPHP/Maven, which management frowns on) -- it's more of an annoyance I can live with, though.","Awesome"
"2225","CPAN and the massive number of people out there working on the projects in there.","The lack of documentation relating to modern perl techniques and modern perl modules an dprojects.","Pathologically semantic awesome sugar"
"2226","The excellent doku.","Hard to learn.","hard, fast, availlable"
"2227","The language is very flexible and gives you much power over it.","1: There are too many CPAN modules for a single task and many of them are not good compared to open source modules on different languages such as Python, Ruby and Java. Example: ORM, XLS (Excel), PDF and html form handling; simple day to day tasks whose all the options on CPAN are not excellents.[CR][CR]2: There are too many ways to do something and no standard at all for anything. It gives you a huge pain to maintain a project that uses different modules with different standards.[CR][CR]3: The error handling, specially that there's no standard way to do it, makes it very difficult to debug an application when it comes to 3rd party modules.","Good for small scripts."
"2228","It's widely available on systems I interact with.","Perl 6 is not production ready",""
"2229","","antique, no static types and OO is a joke. ",""
"2230","free, timtowtdi, provides the best solution (modules) for everything[CR][CR]So: If you want to learn only one programming language, Perl is your best choice.","looks like it is phasing out :-(","Solve everything with one language."
"2231","I know I get things done using it.","","Fast, flexible, powerful, "
"2232","Choice[CR]CPAN[CR]Community[CR]Care","Its general bad reputation",""
"2233","regex","",""
"2234","","",""
"2235","","",""
"2236","Loads of shortcuts and seemingly few limits","I'm new to Perl so shortcuts are also annoying if you're not aware of them. Other than that I can't comment on it too much at this point.","powerful once mastered confusing to begin with"
"2237","Its flexible and easy to use.  I can convert an existing program into a functioning new one in as little as 10 or 15 minutes.","Upper management discourages its use out of ignorance.","The adjustable wrench in the programmer's toolkit."
"2238","","",""
"2239","Lots of modules, strong community","Bad reputation, old/bad code still around, development of perl 6 taking very long",""
"2240","It showed the world that we don't need to keep using C to write non-system code.  It also showed the world that proper closures are a good thing.","That perl5 is still promoted.  The fact that it seems to get every major default wrong.  Perl references.","obsolete"
"2241","Efficiency of getting short scripts out quickly.","Capability of strong incompatible idioms between developers leading to maintenance complexity and hamstrung collaboration.","flexible, post-modern, complex, fast, stable"
"2242","It supports a certain style of development that allows a less strategic and at the same time, less rigid way of work but a more dynamic and ad-hoc one.","Code of other people.","Perl - indicating how well your team interacts."
"2243","CPAN","",""
"2244","","",""
"2245","","",""
"2246","fluency and elegance of coding","a lack of robust application error management",""
"2247","Easy debugging","It becomes more and more complex","fast easy powerful flexible unlimited"
"2248","Regex, CPAN","Moose","great all purpose language"
"2249","The way it reads and writes. The syntax always feels natural to me.","How awkward it is to deploy a desktop application. It's difficult to just pack it up in an installer and send it out.","""There's a module for that."""
"2250","Perl is one of the most flexible languages I know. You can at some point make Perl do just about anything you want/need, usually with very little effort.","Perl is a aging language and has a lot of baggage accumulated over the last two and a half decades. I'm constantly frustrated by things that should work but don't and need to be worked around. Sometimes these things have names and post messages to mailing lists and blogs, sometimes they're just oddiities in the parser.","flexible powerful modern dynamic"
"2251","","",""
"2252","brevity","perl6 not ready","Swiss Army knife of languages"
"2253","","",""
"2254","It's flexibility.","Programmers who tend to use perl aren't experienced enough to write flexible easy to maintain code.","powerful flexable quick concise "
"2255","It's a good tool for getting a lot done quickly.","Utf-8 support behaves very differently across multiple platforms.","fast, powerful, easy, beautiful, compact"
"2256","","",""
"2257","Powerful regular expressions syntax","Relatively hard to read and maintain Perl code.","cryptic but powerful"
"2258","","",""
"2259","","",""
"2260","","",""
"2261","its quick and dirty","Perl 6 is taking forever","Perl 6 is taking forever"
"2262","Well, how easy it makes ti work with text. And TIMTOWTDI (if I spell it correctly)","Code can become very cryptic without proper documentation, at least for a not-very experienced Perl programmer","concise, flexible, expressive, fast, work-horse"
"2263","It's Polymorphic, Existential, Recursive, and Lambda.","nothing at all. :-)","Polymophic Existential Recursive Lambda"
"2264","speed and ease of use of regular expressions","bad support for object oriented programming","fast log parsing"
"2265","cpan","orphaned GUI support, not considered a prime GUI App development language. Should be a prime perl foundation objective; support/monitor PerlQt/GTK for instance.[CR]","lost pace - release perl6 now"
"2266","The best things in Perl are the tight integration of regular expressions and other text/list processing features.","Perl's tool ecosystem sucks: While Perl great in terms of language features, single tools (profiler, debugger, etc.) and libraries, there is still no complete IDE (Padre is getting there, but still not complete) with many refactoring tools, intelligent code completion (knows APIs etc.), GUI editing,  support for commonly used CPAN modules, etc.",""
"2267","breadth and flexibility[CR]CPAN[CR]auto garbage collection[CR]built-in debugger[CR]","aging default documentation with little or no mention of CPAN and newer power tools[CR]   like Moose and DBIx::Class[CR]default global variable scope[CR]","a broadly applicable dynamic language"
"2268","","",""
"2269","CPAN.","",""
"2270","","",""
"2271","CPAN","dependencies","ninja holding the web together"
"2272","","",""
"2273","","",""
"2274","","",""
"2275","It's ubuquitous and performs well.","""It works as you'd expect"" is a very wishy-washy way to specify language features, so some need to be verified experimentally. It's hard to read and very forgettable. ","versatile multi-purpose glue/hack language."
"2276","","",""
"2277","","",""
"2278","a tie between its flexibility and CPAN.","the lack of math stuff for projecteuler.net","Anything you can do Perl can do better."
"2279","maturity and the community","the image, it's not seen as cool or cutting edge","almost as fast as java"
"2280","","",""
"2281","Flexibility, CPAN, Community (e.g. PerlMonks).","Horrible for GUI development.","Flexible, powerful tool for getting the job done."
"2282","text processing","obscure error messages, obtuse loading of modules",""
"2283","Speed","nothing","reliable, fast, scalable"
"2284","That it«s so easy to deploy.","CPAN-module installation very often doesn«t work at first.","quick and easy programming"
"2285","","",""
"2286","that I rarely need to look elsewhere","OO is either crufty or slow and a few little warts here and there","can't live without it"
"2287","It makes common tasks easier.","Getting modules to work together.","Makes programming fun again."
"2288","","",""
"2289","Community support.","""There is more than one way to do it"" makes it difficult to know what the best package to use is as well as recommended best practice to adopt.","A useful tool to know"
"2290","It fits well into my brain.[CR]The CPAN.[CR]Cross-platform compatibility.","The raft of features that we wish could go away, but won't, because they would break old code.[CR]Publicity headaches involving Perl 6.[CR]The lack of a Strawberry Perl equivalent on Unix systems (ie, everything you want, as opposed to just the core).",""
"2291","The bridge between simple and highly technical capabilities","Sub and Class parameters handling","different powerful useful freedom power"
"2292","It gets shit done","Sketchy syntax, community image",""
"2293","","",""
"2294","creativity","slow","tmtowdi"
"2295","Syntax Flexibility","",""
"2296","Context, Sigils, TAP, DBI, CPAN","Modern Perl-istas","Simple and Complex in all the right areas"
"2297","CPAN","Legacy crap like exception madness, terrible built in OO, lack of core roles so overloading is garbage","it gets shit done"
"2298","","",""
